time,S,R,T
0,28500,1500,30000
0.2,33145.860207608,1697.54392760133,34843.4041352093
0.4,38447.2267512626,1918.35150162945,40365.5782528921
0.6,44500.6165092672,2165.50193614528,46666.1184454125
0.8,51404.2898316166,2442.0459131781,53846.3357447947
1,59260.5013956125,2751.0566890069,62011.5580846194
1.2,68164.6347685755,3095.46805784215,71260.1028264176
1.4,78218.2958795272,3478.37475874723,81696.6706382744
1.6,89528.8897993176,3903.03357087368,93431.9233701913
1.8,102194.500426792,4372.44121391206,106566.941640704
2,116296.446216346,4889.35175398706,121185.797970333
2.2,131930.580023695,5456.76064440655,137387.340668102
2.4,149169.734224072,6077.17131357711,155246.905537649
2.6,168010.891978293,6751.48390127778,174762.375879571
2.8,188547.602868383,7482.65151435258,196030.254382736
3,210711.132891306,8270.00196910664,218981.134860412
3.2,234480.175950664,9113.93455030325,243594.110500967
3.4,259839.786730353,10015.1250668938,269854.911797246
3.6,286415.58225526,10966.4929552185,297382.075210479
3.8,314363.720706708,11971.0324652566,326334.753171964
4,343044.436715312,13016.9609084477,356061.397623759
4.2,372633.993078531,14107.5245524808,386741.517631012
4.4,402650.959464302,15233.077264341,417884.036728643
4.6,432907.714219088,16389.877682456,449297.591901544
4.8,462799.353306668,17565.2545165157,480364.607823184
5,492367.577931291,18760.0178835676,511127.595814858
5.2,520986.75577542,19960.7905484251,540947.546323845
5.4,548648.544654382,21167.2857825885,569815.83043697
5.6,574935.066738788,22370.3687264984,597305.435465286
5.8,599849.320484171,23569.907910318,623419.228394489
6,623070.089012344,24758.7373147913,647828.826327135
6.2,644409.490751842,25932.7351158434,670342.225867686
6.4,663921.652391798,27092.9855117316,691014.637903529
6.6,681514.445771691,28237.3871149881,709751.832886679
6.8,697006.452732826,29361.8937072952,726368.346440121
7,710681.583823688,30473.2953803258,741154.879204014
7.2,722510.807362546,31571.0270487997,754081.834411346
7.4,732435.614859026,32653.8308249874,765089.445684014
7.6,740795.003035412,33730.7305974442,774525.733632856
7.8,747601.89194031,34802.1928936167,782404.084833926
8,752918.266625192,35869.9718735273,788788.23849872
8.2,757001.955853079,36942.3061365908,793944.26198967
8.4,759919.358599884,38020.9258782511,797940.284478135
8.6,761785.919812238,39109.4485548494,800895.368367087
8.8,762598.225457955,40211.089802632,802809.315260587
9,762524.165183857,41329.6969833132,803853.862167171
9.2,761670.014245021,42468.8902400167,804138.904485038
9.4,760141.271175169,43632.2878030609,803773.55897823
9.6,757868.239285804,44823.0764553435,802691.315741147
9.8,755017.598173662,46045.0250957425,801062.623269404
10,751672.687566837,47301.6973848257,798974.384951663
10.2,747916.847193424,48596.6569831612,796513.504176586
10.4,743659.620635897,49933.5493611709,793593.169997068
10.6,739027.861937799,51315.9176962308,790343.77963403
10.8,734088.431873954,52747.3334059322,786835.765279886
11,728900.235005682,54231.3716530396,783131.606658721
11.2,723382.900548796,55772.1937422924,779155.094291088
11.4,717613.971274417,57373.2963973239,774987.26767174
11.6,711645.19429917,59038.284903091,770683.479202261
11.8,705513.958464491,60770.8249715255,766284.783436017
12,699166.538895086,62576.1312739842,761742.67016907
12.2,692640.184780105,64457.8718965278,757098.056676633
12.4,685972.154733316,66419.7147649958,752391.869498312
12.6,679184.277783717,68465.5901126125,747649.867896329
12.8,672227.485400175,70603.878030873,742831.363431048
13,665126.178300329,72838.3473419469,737964.525642276
13.2,657913.373565445,75172.2260652327,733085.599630678
13.4,650602.975965842,77609.9417970229,728212.917762865
13.6,643208.890271837,80155.92213361,723364.812405447
13.8,635724.71001977,82816.7625940083,718541.472613779
14,628102.890466168,85603.4495979349,713706.340064103
14.2,620391.725103637,88516.7402560532,708908.46535969
14.4,612598.090186379,91561.8123544175,704159.902540797
14.6,604728.861968602,94743.8436790823,699472.705647684
14.8,596790.916704508,98068.0120161019,694858.92872061
15,588745.338563337,101550.307511804,690295.646075141
15.2,580606.642138021,105194.10439885,685800.746536871
15.4,572385.892295054,109003.591454273,681389.483749327
15.6,564085.292981629,112985.049682441,677070.34266407
15.8,555707.04814494,117144.76008772,672851.80823266
16,547245.563806596,121493.455661385,668739.019467981
16.2,538686.175238923,126047.048061343,664733.223300265
16.4,530040.931534492,130806.197507581,660847.129042073
16.6,521309.856674362,135778.429589401,657088.286263763
16.8,512492.97463959,140971.269896101,653464.244535691
17,503590.309411234,146392.244016984,649982.553428217
17.2,494597.315689298,152059.4085533,646656.724242598
17.4,485515.295063445,157977.344536701,643492.639600146
17.6,476344.426768391,164153.219736926,640497.646505317
17.8,467084.306804955,170595.546127121,637679.852932076
18,457734.531173955,177312.83568043,635047.366854385
18.2,448302.68941816,184311.756491133,632614.445909293
18.4,438798.159977493,191598.564006695,630396.723984188
18.6,429210.822682548,199184.011439628,628394.834122176
18.8,419541.100020819,207076.420116513,626617.520137332
19,409789.414479798,215284.11136393,625073.525843728
19.2,399956.188546977,223815.40650846,623771.595055437
