time,S,R,T
0,225000,75000,300000
0.2,250825.984798927,81947.1996355846,332773.184434512
0.4,277593.916024716,89130.694171615,366724.610196331
0.6,305131.052976271,96523.7305097481,401654.783486019
0.8,333092.156868792,104072.34168743,437164.498556222
1,361138.81961411,111723.855321643,472862.674935753
1.2,388978.307153878,119433.017130308,508411.324284185
1.4,416205.741762546,127137.590653384,543343.332415931
1.6,442455.926333971,134784.984242776,577240.910576747
1.8,467398.0273863,142324.232147176,609722.259533475
2,490750.452142505,149715.662621709,640466.114764214
2.2,512309.626557256,156934.703989769,669244.330547024
2.4,531732.657049153,163929.91512007,695662.572169223
2.6,549091.78629191,170722.765221072,719814.551512982
2.8,564167.032455608,177284.055201608,741451.087657216
3,576880.988593409,183608.280056944,760489.268650352
3.2,587482.22130489,189744.004199187,777226.225504077
3.4,595805.923729296,195671.514950382,791477.438679679
3.6,602106.206735,201439.125315286,803545.332050286
3.8,606487.343277995,207071.012795994,813558.35607399
4,609004.069910828,212583.372607847,821587.442518675
4.2,609898.063447682,218022.495330042,827920.558777724
4.4,609334.732507666,223422.401447088,832757.133954754
4.6,607473.73977068,228816.110071711,836289.849842391
4.8,604323.551203334,234212.08280883,838535.634012163
5,600092.287645622,239651.134823584,839743.422469207
5.2,594880.821152632,245156.686239214,840037.507391846
5.4,588719.55824132,250740.750769076,839460.309010396
5.6,581717.693895586,256428.030071813,838145.7239674
5.8,573951.389115369,262238.267520836,836189.656636205
6,565493.535979739,268190.993688296,833684.529668034
6.2,556394.460945966,274301.6190371,830696.079983066
6.4,546730.971203265,280590.574587265,827321.545790531
6.6,536579.897107676,287078.504920312,823658.402027989
6.8,525989.14185821,293781.143610659,819770.285468869
7,515016.117290782,300714.739909125,815730.857199907
7.2,503714.276907654,307895.18536449,811609.462272144
7.4,492132.59775715,315338.1743788,807470.77213595
7.6,480265.279736211,323037.33848679,803302.618223001
7.8,468163.747256036,331010.44221894,799174.189474976
8,455868.883467724,339271.699673486,795140.58314121
8.2,443408.504986671,347830.742900005,791239.247886676
8.4,430806.455592408,356696.336824636,787502.792417043
8.6,418082.6062286,365876.379250083,783958.985478683
8.8,405262.676080783,375371.675160997,780634.35124178
9,392403.070595253,385160.191616894,777563.262212147
9.2,379490.183307812,395260.891486077,774751.074793888
9.4,366535.199431666,405673.636356191,772208.835787857
9.6,353545.95157485,416397.027520049,769942.979094899
9.8,340526.919740222,427428.405975626,767955.325715848
10,327479.231325468,438763.852426062,766243.083751531
10.2,314496.113130043,450373.698432301,764869.811562344
10.4,301614.317653818,462244.764807234,763859.082461052
10.6,288802.947029202,474383.006219333,763185.953248535
10.8,276079.192696969,486781.873464209,762861.066161178
11,263460.246097891,499434.817337475,762895.063435366
11.2,250968.9695474,512319.225498202,763288.195045602
11.4,238660.815951527,525320.170550354,763980.98650188
11.6,226532.938672164,538487.862505072,765020.801177236
11.8,214606.149100827,551805.498402324,766411.647503151
12,202901.258629032,565256.275282078,768157.53391111
