time,S,R,T
0,7500,0.76,7500.76
0.2,8731.85701147932,0.829282614296988,8732.68629409362
0.4,10121.4274520078,0.843620586532775,10122.2710725944
0.6,11688.4029817345,0.799898914932205,11689.2028806495
0.8,13444.1144798601,0.705746784662058,13444.8202266447
1,15402.9340051847,0.579253981010059,15403.5132591657
1.2,17577.7418313592,0.442102934186596,17578.1839342934
1.4,19979.9351244005,0.313495365043163,19980.2486197655
1.6,22619.7336627269,0.206691528290889,22619.9403542551
1.8,25505.4143653068,0.126902579649843,25505.5412678865
2,28642.6528281121,0.0725053624345647,28642.7253334745
2.2,32034.241178205,0.0385605436143287,32034.2797387486
2.4,35679.7181431626,0.0190879397641345,35679.7372311023
2.6,39574.8422651392,0.00879586048470725,39574.8510609997
2.8,43711.2099520755,0.00376346618436623,43711.2137155417
3,48075.9257571843,0.00150035869830926,48075.927257543
3.2,52651.4830410252,0.000554486563349545,52651.4835955118
3.4,57415.5509464313,0.000190262915695428,57415.5511366943
3.6,62341.0228316643,5.9949514632958e-05,62341.0228916138
3.8,67396.1188552326,1.810411707205e-05,67396.1188733368
4,72544.7030733636,6.09728829328144e-06,72544.7030794609
4.2,77746.6910491114,1.47772073830209e-06,77746.6910505891
4.4,82958.6337051395,4.01887919675794e-07,82958.6337055414
4.6,88134.4140977042,3.21225600471281e-07,88134.4140980254
4.8,93226.0642268342,-1.12298726547179e-08,93226.0642268229
5,98184.8090674334,-4.21042988745435e-07,98184.8090670123
5.2,102961.711177451,-2.38425723698731e-07,102961.711177213
5.4,107508.664101574,2.6637413820884e-07,107508.66410184
5.6,111779.585273227,3.69019933853457e-07,111779.585273596
5.8,115731.296108717,7.20536602477266e-08,115731.296108789
6,119324.385243509,-2.39462092680661e-07,119324.38524327
6.2,122523.628884673,-2.06025481032949e-07,122523.628884467
6.4,125307.650329595,-9.04331118824476e-08,125307.650329505
6.6,127655.473772099,-1.76204164036086e-07,127655.473771923
6.8,129531.541898445,-1.10522517887384e-07,129531.541898335
7,130924.164778781,6.68301483405828e-08,130924.164778848
7.2,131852.783777211,1.07199717885912e-07,131852.783777318
7.4,132281.002188204,1.36572260281408e-07,132281.00218834
7.6,132204.35420661,1.46538155897077e-07,132204.354206757
7.8,131683.384280449,1.38344586400806e-07,131683.384280587
8,130688.968375965,9.9919131260077e-08,130688.968376065
8.2,129223.769746355,2.50438363599302e-08,129223.76974638
8.4,127368.612046501,-1.94788313375887e-08,127368.612046481
8.6,125110.450106391,-5.45422325758748e-08,125110.450106337
8.8,122466.460339084,-7.28055753351877e-08,122466.460339011
9,119500.032349389,-7.72544928114238e-08,119500.032349312
9.2,116231.109257525,-6.11664189398663e-08,116231.109257464
9.4,112683.36798504,-1.86531126336673e-08,112683.367985021
9.6,108903.92533226,2.49036621564175e-08,108903.925332285
9.8,104927.432593621,6.40740106828501e-08,104927.432593685
10,100781.573645257,1.04579853434401e-07,100781.573645362
10.2,96499.4506436436,1.42601616111882e-07,96499.4506437862
10.4,92116.8807107397,1.59508471892322e-07,92116.8807108992
10.6,87665.9481215256,1.57033808348824e-07,87665.9481216826
10.8,83180.0335157537,1.29838810442792e-07,83180.0335158835
11,78683.2671501152,9.22430719393385e-08,78683.2671502074
11.2,74197.1404713096,6.41740414594801e-08,74197.1404713738
11.4,69757.821402945,3.43695205630538e-08,69757.8214029793
11.6,65395.0912830627,5.13973360510873e-09,65395.0912830679
11.8,61104.9198380506,-1.52627694616813e-08,61104.9198380353
12,56919.112804501,-2.48835484268734e-08,56919.1128044762
12.2,52864.3157047291,-2.08612653637976e-08,52864.3157047083
12.4,48954.1473277586,-6.03796910465948e-09,48954.1473277525
12.6,45174.9628623427,-7.0247981624513e-10,45174.962862342
12.8,41559.9395000616,4.81914472286524e-09,41559.9395000664
13,38124.8875779516,9.08729103985421e-09,38124.8875779607
13.2,34864.2384202126,1.17001383041114e-08,34864.2384202243
13.4,31776.2074305801,1.07874002378711e-08,31776.2074305909
13.6,28870.0687029394,3.93982463812452e-09,28870.0687029434
13.8,26146.2021189412,-1.09052623295104e-08,26146.2021189303
14,23604.5566406892,-2.29362045256871e-08,23604.5566406662
14.2,21241.9356164341,-3.0411020700307e-08,21241.9356164037
14.4,19053.0323386245,-3.22865574178475e-08,19053.0323385922
14.6,17030.8636593572,-2.47133947462225e-08,17030.8636593324
14.8,15176.7772017552,-1.8328644064768e-08,15176.7772017368
15,13480.0687639139,-8.2044487965421e-09,13480.0687639057
15.2,11931.1310223564,6.76595450254422e-09,11931.1310223632
15.4,10519.874637081,2.63199473070812e-08,10519.8746371073
15.6,9245.14948938507,3.74942327579552e-08,9245.14948942257
15.8,8095.46082255259,3.80685300724083e-08,8095.46082259065
16,7062.21275387403,2.28077633952623e-08,7062.21275389684
16.2,6139.61955712418,6.04888033954412e-09,6139.61955713023
16.4,5318.59414181214,-1.76028371267491e-08,5318.59414179454
16.6,4591.05546012998,-4.46766690577269e-08,4591.05546008531
16.8,3949.56625195084,-6.02594698315861e-08,3949.56625189058
17,3385.90687748917,-5.82549060641841e-08,3385.90687743092
17.2,2892.40742664904,-3.27162742534063e-08,2892.40742661633
17.4,2462.79808996217,1.38965110535647e-10,2462.79808996231
17.6,2089.44745634208,4.89650737560592e-08,2089.44745639105
17.8,1765.8004304763,1.05600821727212e-07,1765.8004305819
18,1487.03443895451,1.334556709317e-07,1487.03443908797
18.2,1247.39551712056,1.13898411188801e-07,1247.39551723446
18.4,1042.39033339,5.61991744726477e-08,1042.3903334462
18.6,867.850248716988,-5.03646187384829e-08,867.850248666623
18.8,719.93253700811,-1.90544148473194e-07,719.932536817566
19,594.990230746653,-2.94835956868389e-07,594.990230451817
19.2,490.154951352023,-3.29190734466023e-07,490.154951022833
19.4,402.288491048438,-2.67728622615586e-07,402.288490780709
19.6,329.058928641709,-4.88528436236939e-08,329.058928592857
19.8,268.234505860275,2.20719295313731e-07,268.234506080995
20,217.816342127995,2.831810333619e-07,217.816342411176
20.2,176.235084915796,5.89022321241427e-08,176.235084974698
20.4,141.96659482791,-5.19510873468872e-08,141.966594775959
20.6,113.936721967188,-7.62133919345046e-08,113.936721890975
20.8,91.1350128715014,-1.52441689761184e-08,91.1350128562572
21,72.6530609911843,1.09829798547531e-08,72.6530610021673
21.2,57.7158988321454,2.78099788276517e-08,57.7158988599554
21.4,45.6938400015211,-8.54422343781344e-10,45.6938400006667
21.6,36.036446392349,-1.52438917439558e-08,36.0364463771051
21.8,28.3104303469622,-8.55743054743837e-09,28.3104303384048
22,22.1517770038011,-6.73399599395432e-10,22.1517770031277
22.2,17.2726395330846,7.3491386880476e-09,17.2726395404337
22.4,13.4241925872325,9.22073351000537e-10,13.4241925881545
22.6,10.3968835621495,-2.17682447390308e-09,10.3968835599727
22.8,8.02221819609262,-2.37607808433708e-09,8.02221819371654
23,6.16629397302718,1.67827245216577e-09,6.16629397470545
23.2,4.72169992549394,1.36498011312861e-09,4.72169992685892
23.4,3.60140146588462,-1.64448105388279e-10,3.60140146572017
23.6,2.73688434311084,-1.51952060889293e-09,2.73688434159132
23.8,2.07368017082371,5.17768795147373e-11,2.07368017087548
24,1.56593529688832,1.07330383324368e-09,1.56593529796162
24.2,1.1790839620351,1.17639478083773e-09,1.1790839632115
24.4,0.884224276662501,-1.24212372918059e-09,0.884224275420377
24.6,0.660303552025769,-6.40170596096632e-10,0.660303551385598
24.8,0.491091864763869,1.03564017281564e-09,0.491091865799509
25,0.364035892957426,3.39608779709917e-10,0.364035893297035
