time,S,R,T,dose_u1
0,22500,7500,30000,0
0.2,26180.0571205116,8488.07855758473,34668.1356780963,0
0.4,30400.4352155736,9592.29771229456,39992.7329278681,0
0.6,35267.9863065677,10832.0730054343,46100.059312002,0
0.8,40874.3669789257,12222.4735564104,53096.840535336,0
1,47321.8546800872,13779.4759715925,61101.3306516797,0.125
1.2,54804.6568430012,15535.1456286014,70339.8024716026,0.125
1.4,63301.2317844246,17479.6859795222,80780.9177639468,0.125
1.6,72990.9706799329,19640.7533988321,92631.724078765,0.125
1.8,84011.4518072739,22036.715324827,106048.167132101,0.125
2,96503.1520206606,24684.7146894522,121187.866710113,0.25
2.2,110741.606550406,27623.2207280841,138364.82727849,0.25
2.4,126604.228280541,30822.9572181779,157427.185498719,0.25
2.6,144307.706034993,34310.5643650226,178618.270400016,0.25
2.8,163973.444883369,38095.4994851167,202068.944368486,0.25
3,185678.637805101,42179.2983992301,227857.936204331,0.375
3.2,209484.586964254,46578.0337285095,256062.620692763,0.375
3.4,235151.556000331,51233.9366967946,286385.492697125,0.375
3.6,262718.35140953,56142.9829383402,318861.334347871,0.375
3.8,292124.431267287,61286.2522411668,353410.683508453,0.375
4,323198.092582798,66629.8030233102,389827.895606108,0.5
4.2,354738.423298219,72113.5577261347,426851.981024353,0.5
4.4,387125.313081213,77697.5997797121,464822.912860925,0.5
4.6,420020.122558745,83333.6940298721,503353.816588617,0.5
4.8,453146.459423878,88978.6916180014,542125.15104188,0.5
5,486103.600129211,94575.9804124758,580679.580541687,0.625
5.2,514855.595711079,99985.9557811996,614841.551492278,0.625
5.4,542520.545555998,105294.104864514,647814.650420512,0.625
5.6,568942.807749929,110478.646955484,679421.454705413,0.625
5.8,593808.137053015,115503.442674047,709311.579727062,0.625
6,616948.318049784,120347.960223383,737296.278273167,0.75
6.2,630652.482426579,124802.022141839,755454.504568418,0.75
6.4,642637.075795386,129153.539274826,771790.615070212,0.75
6.6,653028.175977777,133411.276538731,786439.452516508,0.75
6.8,661725.829530677,137572.557506343,799298.387037019,0.75
7,668801.87361924,141646.799452971,810448.673072211,0.625
7.2,683141.370992525,145856.029533615,828997.400526141,0.625
7.4,695824.878902463,149886.922130038,845711.801032502,0.625
7.6,706991.007855003,153755.644713084,860746.652568087,0.625
7.8,716562.164288567,157456.30564214,874018.469930708,0.625
8,724623.42258679,161001.477088785,885624.899675575,0.5
8.2,739027.820404501,164590.188753494,903618.009157994,0.5
8.4,751857.078567693,167940.030675376,919797.109243069,0.5
8.6,763263.737382634,171075.624674456,934339.362057091,0.5
8.8,773195.737418514,173991.065083817,947186.802502331,0.5
9,781751.805441101,176703.433191298,958455.238632399,0.375
9.2,794337.124781939,179384.244163181,973721.36894512,0.375
9.4,805539.356864547,181820.145042863,987359.50190741,0.375
9.6,815516.580196644,184040.417240086,999556.99743673,0.375
9.8,824246.985024855,186042.572901386,1010289.55792624,0.375
10,831833.981635048,187846.038042976,1019680.01967802,0.25
10.2,840972.365322504,189585.675658428,1030558.04098093,0.25
10.4,849065.84056269,191131.596281175,1040197.43684386,0.25
10.6,856252.22379669,192509.973160478,1048762.19695717,0.25
10.8,862532.388724294,193721.559243142,1056253.94796744,0.25
11,867996.336993692,194783.429711929,1062779.76670562,0.125
11.2,873446.008745805,195776.471532368,1069222.48027817,0.125
11.4,878242.315513469,196648.527150634,1074890.8426641,0.125
11.6,882480.276878455,197417.374794423,1079897.65167288,0.125
11.8,886168.483910381,198084.766697031,1084253.25060741,0.125
12,889368.341421428,198662.16169395,1088030.50311538,0
12.2,892152.093007491,199171.011614974,1091323.10462247,0
12.4,894589.213693724,199616.28211121,1094205.49580493,0
12.6,896732.946819534,200007.787295986,1096740.73411552,0
12.8,898590.364296017,200346.867202248,1098937.23149826,0
13,900195.565393197,200639.800493685,1100835.36588688,0
13.2,901551.757968353,200887.207005151,1102438.9649735,0
13.4,902735.8589863,201103.168507055,1103839.02749336,0
13.6,903775.005008135,201292.654679816,1105067.65968795,0
13.8,904673.324350501,201456.429809543,1106129.75416004,0
14,905448.278751665,201597.690102172,1107045.96885384,0
14.2,906101.58900719,201716.757112229,1107818.34611942,0
14.4,906671.250243326,201820.567236507,1108491.81747983,0
14.6,907170.615819211,201911.558596867,1109082.17441608,0
14.8,907601.834836511,201990.125455207,1109591.96029172,0
15,907973.478618347,202057.83241587,1110031.31103422,0
15.2,908286.493183615,202114.853647257,1110401.34683087,0
15.4,908557.543601213,202164.22761379,1110721.771215,0
15.6,908791.918137327,202206.91869774,1110998.83683507,0
15.8,908994.55720039,202243.827640438,1111238.38484083,0
16,909169.74805739,202275.735932699,1111445.48399009,0
16.2,909321.012585887,202303.285490812,1111624.2980767,0
16.4,909451.957543137,202327.133640213,1111779.09118335,0
16.6,909565.153657368,202347.748823654,1111912.90248102,0
16.8,909662.999507695,202365.56806694,1112028.56757464,0
17,909747.574357359,202380.97017656,1112128.54453392,0
17.2,909820.585329388,202394.266147867,1112214.85147725,0
17.4,909883.779232695,202405.774191731,1112289.55342443,0
17.6,909938.400421473,202415.720972489,1112354.12139396,0
17.8,909985.609212679,202424.317835664,1112409.92704834,0
18,910026.410938553,202431.747887992,1112458.15882654,0
18.2,910061.630781826,202438.161421439,1112499.79220327,0
18.4,910092.112769857,202443.712156862,1112535.82492672,0
18.6,910118.457992022,202448.509565656,1112566.96755768,0
18.8,910141.226778422,202452.655693495,1112593.88247192,0
19,910160.904495523,202456.238931768,1112617.14342729,0
19.2,910177.88948427,202459.33182268,1112637.22130695,0
19.4,910192.589103795,202462.008549979,1112654.59765377,0
19.6,910205.293424885,202464.321937292,1112669.61536218,0
19.8,910216.272810604,202466.321218755,1112682.59402936,0
20,910225.761425704,202468.04903616,1112693.81046186,0
20.2,910233.951437731,202469.540383365,1112703.4918211,0
20.4,910241.039346485,202470.831042959,1112711.87038944,0
20.6,910247.165066125,202471.946493092,1112719.11155922,0
20.8,910252.45899598,202472.910479139,1112725.36947512,0
21,910257.034070032,202473.743565967,1112730.777636,0
21.2,910260.982964923,202474.462629615,1112735.44559454,0
21.4,910264.400442361,202475.084925762,1112739.48536812,0
21.6,910267.353973698,202475.622740591,1112742.97671429,0
21.8,910269.906439843,202476.087524357,1112745.9939642,0
22,910272.112298094,202476.489193394,1112748.60149149,0
22.2,910274.016236944,202476.83588519,1112750.85212213,0
22.4,910275.663949286,202477.13592012,1112752.79986941,0
22.6,910277.087968445,202477.395222277,1112754.48319072,0
22.8,910278.318613916,202477.61931262,1112755.93792654,0
23,910279.382143176,202477.812972442,1112757.19511562,0
23.2,910280.30010336,202477.980125314,1112758.28022867,0
23.4,910281.09452567,202478.124782948,1112759.21930862,0
23.6,910281.781096215,202478.249801663,1112760.03089788,0
23.8,910282.374433549,202478.357843382,1112760.73227693,0
24,910282.887197649,202478.451213385,1112761.33841103,0
24.2,910283.329777383,202478.531803401,1112761.86158078,0
24.4,910283.712794972,202478.601547651,1112762.31434262,0
24.6,910284.04381335,202478.661823281,1112762.70563663,0
24.8,910284.329880716,202478.713913712,1112763.04379443,0
25,910284.577100939,202478.758930406,1112763.33603134,0
