time,S,R,T,dose_u1
0,22500,7500,30000,0
0.2,26180.0571205116,8488.07855758473,34668.1356780963,0
0.4,30400.4352155736,9592.29771229456,39992.7329278681,0
0.6,35267.9863065677,10832.0730054343,46100.059312002,0
0.8,40874.3669789257,12222.4735564104,53096.840535336,0
1,47321.8546800872,13779.4759715925,61101.3306516797,0.25
1.2,54799.1569607549,15534.408836775,70333.5657975299,0.25
1.4,63287.4944320337,17477.8885225959,80765.3829546296,0.25
1.6,72965.3981534255,19637.4959167848,92602.8940702103,0.25
1.8,83969.5138804701,22031.522054701,106001.035935171,0.25
2,96439.1630090443,24677.0196852868,121116.182694331,0.5
2.2,110399.698830486,27601.4182187006,138001.117049187,0.5
2.4,125887.759030627,30783.2661656026,156671.025196229,0.5
2.6,143095.362975271,34248.9639192942,177344.326894565,0.5
2.8,162123.23149006,38008.4221946093,200131.653684669,0.5
3,183026.751678965,42063.6938350227,225090.445513987,0.75
3.2,203896.818695037,46379.8573004508,250276.675995488,0.75
3.4,225982.119191718,50952.6679985152,276934.787190233,0.75
3.6,249187.094211378,55774.4408294461,304961.535040824,0.75
3.8,273424.132000545,60842.7657702572,334266.897770802,0.75
4,298506.323334037,66136.5717655235,364642.89509956,1
4.2,318300.070775567,71424.9652193955,389725.035994963,1
4.4,337615.439888042,76876.7407212205,414492.180609262,1
4.6,356290.623768053,82466.1520713528,438756.775839406,1
4.8,374073.653064301,88190.0900653556,462263.743129657,1
5,390779.313066819,94033.26227453,484812.575341349,1.25
5.2,398775.722626164,99386.4457619925,498162.168388157,1.25
5.4,405275.699369564,104824.606682785,510100.306052349,1.25
5.6,410354.057714696,110342.615550024,520696.673264719,1.25
5.8,413883.552112076,115950.521464165,529834.073576241,1.25
6,415890.391134451,121653.946864147,537544.337998598,1
6.2,425180.045645694,128407.709474351,553587.755120046,1
6.4,433042.492463487,135247.044732968,568289.537196455,1
6.6,439543.110764614,142164.459834075,581707.570598689,1
6.8,444553.740859935,149167.961610729,593721.702470664,1
7,448092.545187822,156261.765444151,604354.310631972,0.75
7.2,464209.792254162,164330.919677611,628540.711931772,0.75
7.4,478974.19869411,172329.530551201,651303.729245311,0.75
7.6,492396.069741876,180243.770238018,672639.839979894,0.75
7.8,504301.234629056,188052.133435856,692353.368064912,0.75
8,514664.629794041,195745.87650785,710410.506301891,0.5
8.2,537299.650798115,203972.57159424,741272.222392355,0.5
8.4,558537.994654867,211830.204505544,770368.199160411,0.5
8.6,578365.684649649,219316.50071404,797682.185363689,0.5
8.8,596583.024990103,226380.892101125,822963.917091227,0.5
9,613154.726293678,233016.450181656,846171.176475334,0.25
9.2,634174.315315145,239589.28492098,873763.600236125,0.25
9.4,653594.769840752,245638.360575323,899233.130416074,0.25
9.6,671496.935360715,251197.769728458,922694.705089173,0.25
9.8,687756.028522587,256234.116358723,943990.144881311,0.25
10,702420.036698367,260768.513855289,963188.550553656,0
10.2,716006.729422912,264888.170543635,980894.899966547,0
10.4,728252.319618181,268589.93811812,996842.2577363,0
10.6,739299.312570937,271920.760090545,1011220.07266148,0
10.8,749116.571675349,274873.307827606,1023989.87950296,0
11,757797.763611582,277478.293929653,1035276.05754124,0
11.2,765302.615862073,279725.246215682,1045027.86207776,0
11.4,771961.344126988,281715.778952249,1053677.12307924,0
11.6,777887.409536312,283484.958392438,1061372.36792875,0
11.8,783083.09186505,285034.096123211,1068117.18798826,0
12,787622.097164087,286385.901315754,1074007.99847984,0
12.2,791499.214733282,287539.290432524,1079038.50516581,0
12.4,794910.828109924,288553.416912169,1083464.24502209,0
12.6,797925.549638184,289448.978268519,1087374.5279067,0
12.8,800550.218922881,290228.174382985,1090778.39330587,0
13,802828.884632767,290904.271851338,1093733.15648411,0
13.2,804763.417749695,291477.94716772,1096241.36491742,0
13.4,806458.580143345,291980.448945677,1098439.02908902,0
13.6,807951.188287789,292422.765399092,1100373.95368688,0
13.8,809246.12187982,292806.384340101,1102052.50621992,0
14,810366.856822679,293138.306895348,1103505.16371803,0
14.2,811315.461120416,293419.175281802,1104734.63640222,0
14.4,812144.977308622,293664.738394321,1105809.71570294,0
14.6,812874.090295379,293880.545426434,1106754.63572181,0
14.8,813505.552353003,294067.421044674,1107572.97339768,0
15,814051.351141823,294228.924064258,1108280.27520608,0
15.2,814512.527711204,294365.369450886,1108877.89716209,0
15.4,814912.911239126,294483.81755903,1109396.72879816,0
15.6,815260.008645573,294586.493417654,1109846.50206323,0
15.8,815560.865945427,294675.484650942,1110236.35059637,0
16,815821.61958885,294752.608739538,1110574.22832839,0
16.2,816047.32048636,294819.361428011,1110866.68191437,0
16.4,816243.171473048,294877.28320229,1111120.45467534,0
16.6,816412.882592375,294927.472292949,1111340.35488532,0
16.8,816559.92885742,294970.957168914,1111530.88602633,0
17,816687.331438395,295008.63182345,1111695.96326184,0
17.2,816797.574849035,295041.231394756,1111838.80624379,0
17.4,816893.214794012,295069.512026655,1111962.72682067,0
17.6,816976.072081708,295094.012370495,1112070.0844522,0
17.8,817047.850450078,295115.236399616,1112163.08684969,0
18,817110.029874988,295133.621860445,1112243.65173543,0
18.2,817163.826914423,295149.528573135,1112313.35548756,0
18.4,817210.492144394,295163.326405327,1112373.81854972,0
18.6,817250.916150366,295175.278739795,1112426.19489016,0
18.8,817285.931847274,295185.631893074,1112471.56374035,0
19,817316.26246084,295194.59973467,1112510.86219551,0
19.2,817342.502365933,295202.3580278,1112544.86039373,0
19.4,817365.262357764,295209.087388031,1112574.3497458,0
19.6,817384.977316293,295214.916408273,1112599.89372457,0
19.8,817402.053863132,295219.965322973,1112622.0191861,0
20,817416.844999862,295224.338509506,1112641.18350937,0
20.2,817429.640807013,295228.1217397,1112657.76254671,0
20.4,817440.739331444,295231.4031401,1112672.14247154,0
20.6,817450.352757617,295234.245448605,1112684.59820622,0
20.8,817458.679459178,295236.707318977,1112695.38677816,0
21,817465.891633991,295238.839665005,1112704.731299,0
21.2,817472.130779281,295240.684323042,1112712.81510232,0
21.4,817477.542266844,295242.284274841,1112719.82654168,0
21.6,817482.229584058,295243.670118086,1112725.89970214,0
21.8,817486.289476936,295244.870457123,1112731.15993406,0
22,817489.805921672,295245.910120603,1112735.71604228,0
22.2,817492.847920911,295246.809510009,1112739.65743092,0
22.4,817495.48636409,295247.589584636,1112743.07594873,0
22.6,817497.771714797,295248.265264587,1112746.03697938,0
22.8,817499.751148018,295248.850497621,1112748.60164564,0
23,817501.465611008,295249.357390179,1112750.82300119,0
23.2,817502.94874945,295249.795889912,1112752.74463936,0
23.4,817504.23512839,295250.176216277,1112754.41134467,0
23.6,817505.349353047,295250.505644018,1112755.85499706,0
23.8,817506.314424957,295250.790973719,1112757.10539867,0
24,817507.150308891,295251.038108116,1112758.18841701,0
24.2,817507.87340947,295251.25189736,1112759.12530683,0
24.4,817508.500579418,295251.437324082,1112759.9379035,0
24.6,817509.04381535,295251.597935165,1112760.64175052,0
24.8,817509.514331864,295251.737046285,1112761.25137815,0
25,817509.921862913,295251.857535351,1112761.77939826,0
