time,S,R,T,dose_u1
0,22500,7500,30000,0
0.2,26180.0571205116,8488.07855758473,34668.1356780963,0
0.4,30400.4352155736,9592.29771229456,39992.7329278681,0
0.6,35267.9863065677,10832.0730054343,46100.059312002,0
0.8,40874.3669789257,12222.4735564104,53096.840535336,0
1,47321.8546800872,13779.4759715925,61101.3306516797,1.5
1.2,53897.0300051876,15457.5339597275,69354.5639649151,1.5
1.4,61063.9295153934,17290.7176465727,78354.6471619661,1.5
1.6,68870.6789210692,19298.4381594734,88169.1170805426,1.5
1.8,77331.8285234978,21493.7719092506,98825.6004327484,1.5
2,86438.8199464467,23886.0595897325,110324.879536179,1.5
2.2,96252.0421224678,26511.6307477669,122763.672870235,1.5
2.4,106604.887105024,29334.7858817759,135939.6729868,1.5
2.6,117462.717302722,32366.1400116104,149828.857314332,1.5
2.8,128781.7889119,35618.7594986362,164400.548410536,1.5
3,140480.274842116,39094.9871085519,179575.261950668,1.5
3.2,152490.422728064,42831.7088952418,195322.131623306,1.5
3.4,164638.830611292,46778.2422402628,211417.072851555,1.5
3.6,176808.452950872,50922.9329653149,227731.385916187,1.5
3.8,188877.669893681,55277.7998746774,244155.469768359,1.5
4,200713.231084792,59837.0863032009,260550.317387993,1.5
4.2,212091.403753822,64624.5989995067,276716.002753329,1.5
4.4,222962.442374487,69587.8346363176,292550.277010804,1.5
4.6,233242.344689596,74707.1422905713,307949.486980167,1.5
4.8,242761.384535031,79987.8902390778,322749.274774109,1.5
5,251408.104125766,85420.8564584285,336828.960584195,1.5
5.2,258924.240168248,91019.8174102637,349944.057578511,1.5
5.4,265451.778795338,96744.1396096089,362195.918404947,1.5
5.6,270995.396156597,102578.455885344,373573.852041941,1.5
5.8,275420.117145223,108526.289874767,383946.40701999,1.5
6,278696.432640391,114582.19766397,393278.630304361,0
6.2,307352.147864106,124110.615418523,431462.763282629,0
6.4,337015.808103267,133814.397890038,470830.205993305,0
6.6,367380.452970417,143605.049208578,510985.502178994,0
6.8,398229.247362167,153404.22664407,551633.474006237,0
7,429249.42552551,163119.533546496,592368.959072006,1.5
7.2,414965.184160327,167449.606854297,582414.791014624,1.5
7.4,400521.426930489,171918.390377959,572439.817308448,1.5
7.6,385969.77590661,176523.380126483,562493.156033093,1.5
7.8,371342.567024076,181282.658111553,552625.225135629,1.5
8,356682.403856959,186201.380462795,542883.784319755,0
8.2,384958.73078188,198172.652252118,583131.383033998,0
8.4,413116.22760813,209937.802062202,623054.029670332,0
8.6,440924.554939243,221432.292544584,662356.847483827,0
8.8,468091.823677065,232541.10289453,700632.926571595,0
9,494352.300923461,243168.389979941,737520.690903402,1.5
9.2,455928.055624839,243687.572781702,699615.628406541,1.5
9.4,420990.167075912,244897.054083127,665887.221159039,1.5
9.6,389154.695736628,246740.95185928,635895.647595908,1.5
9.8,360061.331369214,249163.396553587,609224.727922801,1.5
10,333319.431535841,252094.565508104,585413.997043946,0
10.2,357609.357713473,267004.329305297,624613.68701877,0
10.4,381591.218513587,281556.037608094,663147.256121681,0
10.6,405074.933865399,295662.947480705,700737.881346104,0
10.8,427811.098766433,309181.757380522,736992.856146956,0
11,449612.834230247,322022.163610063,771634.99784031,1.5
11.2,401019.312958304,318693.840918058,719713.153876362,1.5
11.4,358513.663598732,316705.61063551,675219.274234242,1.5
11.6,321343.322768923,315900.963656124,637244.286425047,1.5
11.8,288600.105563348,316050.812048378,604650.917611726,1.5
12,259507.050042492,317008.122801707,576515.172844199,0
12.2,278791.706440386,336124.29963205,614916.006072436,0
12.4,297912.361391247,354855.793418548,652768.154809794,0
12.6,316715.413183234,373087.527396708,689802.940579942,0
12.8,335009.674569509,390640.567195408,725650.241764917,0
13,352643.349586992,407394.803607582,760038.153194574,1.5
13.2,305792.627812935,399940.918211583,705733.546024517,1.5
13.4,265800.864526491,394344.121488498,660144.986014989,1.5
13.6,231670.164602411,390300.334421257,621970.499023668,1.5
13.8,202331.432407342,387484.524817468,589815.95722481,1.5
14,176904.803438627,385621.901945803,562526.705384431,0
14.2,190446.134353315,409568.130837957,600014.265191272,0
14.4,203942.142180085,433132.026319559,637074.168499644,0
14.6,217292.596090185,456198.457060209,673491.053150394,0
14.8,230371.222672156,478558.162428734,708929.38510089,0
15,243062.163825217,500035.802343539,743097.966168756,1.5
15.2,204973.69722258,487071.256999565,692044.954222145,1.5
15.4,173170.512626834,476380.26648046,649550.779107293,1.5
15.6,146645.573552967,467539.050013969,614184.623566936,1.5
15.8,124397.582946043,460132.555708172,584530.138654215,1.5
16,105607.484733028,453819.355704311,559426.840437339,0
16.2,113751.788865917,482209.422584006,595961.211449923,0
16.4,121893.29853595,510227.17650714,632120.47504309,0
16.6,129970.750512314,537731.143248347,667701.893760661,0
16.8,137911.614797937,564482.512728916,702394.127526853,0
17,145648.966304568,590279.594982325,735928.561286893,1.5
17.2,119275.862296808,569849.149145486,689125.011442294,1.5
17.4,97790.30923707,552160.610938048,649950.920175118,1.5
17.6,80335.5825624438,536704.11622012,617039.698782564,1.5
17.8,66097.3809582718,523000.83444203,589098.215400301,1.5
18,54414.3428921772,510664.931477171,565079.274369348,0
18.2,58567.8167573858,542287.563100273,600855.379857659,0
18.4,62720.7595241593,573505.968840376,636226.728364536,0
18.6,66839.5084274426,604116.878719899,670956.387147341,0
18.8,70894.786795957,633959.456436379,704854.243232336,0
19,74849.7587835762,662770.352061754,737620.110845331,1.5
19.2,59459.5971138895,633577.302873596,693036.899987486,1.5
19.4,47266.1842468472,607804.895563108,655071.079809956,1.5
19.6,37648.4056019885,584867.702740788,622516.108342777,1.5
19.8,30037.5590126289,564220.132306113,594257.691318742,1.5
20,23980.5166596045,545424.097978234,569404.614637838,0
20.2,25796.2046744481,578929.282281083,604725.486955531,0
20.4,27611.4545507458,612005.619351514,639617.073902259,0
20.6,29413.2798737377,644496.157625557,673909.437499295,0
20.8,31186.3177184126,676132.258800648,707318.576519061,0
21,32916.3742077718,706687.083295916,739603.457503687,1.5
21.2,25367.404854288,669054.438837681,694421.843691969,1.5
21.4,19560.8320410168,635724.77468198,655285.606722997,1.5
21.6,15118.7044562423,606006.673081463,621125.377537705,1.5
21.8,11709.6375375404,579256.721905696,590966.359443236,1.5
22,9077.20641925966,554955.03118176,564032.23760102,0
22.2,9772.10291590085,589420.003135421,599192.106051322,0
22.4,10468.0843500196,623500.210598815,633968.294948835,0
22.6,11159.597163794,656976.327238102,668135.924401896,0
22.8,11841.7531760985,689672.301927791,701514.05510389,0
23,12508.5688441937,721308.021408782,733816.590252976,1.5
23.2,9362.69630707393,676989.00923312,686351.705540194,1.5
23.4,7012.56811703121,637864.143523874,644876.711640905,1.5
23.6,5267.37478905731,603106.933758736,608374.308547794,1.5
23.8,3966.77487101856,571955.309580291,575922.084451309,1.5
24,2990.71808455451,543792.887750175,546783.60583473,0
24.2,3227.58156529676,578720.896413831,581948.477979128,0
24.4,3465.88241011658,613398.759858003,616864.642268119,0
24.6,3703.55726750307,647558.306161255,651261.863428758,0
24.8,3938.99961476103,681054.1684719,684993.168086661,0
25,4170.20882692361,713611.470620129,717781.679447053,0
