time,S,R,T,dose_u1
0,25500,4500,30000,0
0.2,29670.528785952,5092.81831591309,34763.3471018651,0
0.4,34452.8428451342,5755.2439583334,40208.0868034676,0
0.6,39967.6236224305,6498.87655793979,46466.5001803703,0
0.8,46318.1394196957,7332.68846195548,53650.8278816512,0
1,53619.3708476031,8266.16367146656,61885.5345190697,1.5
1.2,61061.9194228108,9271.8685417082,70333.7879645191,1.5
1.4,69171.2078787947,10370.1966098276,79541.4044886223,1.5
1.6,78000.3714505717,11572.6297066127,89573.0011571844,1.5
1.8,87564.684995385,12886.8734139133,100451.558409298,1.5
2,97853.098151347,14318.3689846919,112171.467136039,0
2.2,112462.820793736,16042.0018898284,128504.822683565,0
2.4,128784.583906355,17923.3253272703,146707.909233625,0
2.6,147056.95422169,19979.3237892429,167036.278010933,0
2.8,167420.842589277,22216.829897991,189637.672487268,0
3,189972.773383221,24638.1849325079,214610.958315729,1.5
3.2,205156.978172922,26880.4887267702,232037.466899692,1.5
3.4,220331.104155526,29232.0137219799,249563.117877506,1.5
3.6,235347.449556492,31682.4699309019,267029.919487394,1.5
3.8,250030.88082075,34237.0177641863,284267.898584937,1.5
4,264214.040532757,36891.3049248609,301105.345457617,0
4.2,295294.343294867,40397.6608646859,335692.004159552,0
4.4,328189.864994033,44041.9043516345,372231.769345667,0
4.6,362733.090882315,47801.7263088566,410534.817191172,0
4.8,398735.605640144,51652.0947072897,450387.700347433,0
5,435867.377901913,55557.6928999937,491425.070801907,1.5
5.2,439589.104145698,58180.2255685404,497769.329714238,1.5
5.4,441770.961626071,60829.0203384387,502599.98196451,1.5
5.6,442545.29007282,63505.3256529321,506050.615725752,1.5
5.8,441840.001769192,66215.9368499326,508055.938619125,1.5
6,439731.709582287,68966.6382340827,508698.347816369,0
6.2,476838.11025903,73683.5454219786,550521.655681008,0
6.4,514000.914898874,78341.9676419275,592342.882540802,0
6.6,550833.504158973,82901.9877618385,633735.491920812,0
6.8,586999.320015063,87331.7960977026,674331.116112766,0
7,622089.435594586,91583.2108929575,713672.646487544,1.5
7.2,592485.423148478,92850.8096614394,685336.232809917,1.5
7.4,564610.970172021,94324.8846527501,658935.854824771,1.5
7.6,538174.896997089,95987.6301896883,634162.527186777,1.5
7.8,513127.655833187,97851.2366535286,610978.892486715,1.5
