Day,Rep1,Rep2,Rep3
0,30000,30000,30000
1,99981.69239,86941.15096,62871.95019
2,183200.2572,173257.4148,105418.5283
3,272583.1397,275606.3001,182155.2213
4,365835.8079,361677.289,239045.8284
5,397659.0779,398310.3177,303724.0545
6,499606.8313,468987.8957,404955.1034
7,575313.4382,564118.3884,468485.6986
8,561551.5683,551116.611,468621.356
9,481662.6625,519077.3735,468966.3753
10,564362.4468,514624.3504,512150.2517
11,600904.1099,507066.6054,511427.6372
12,503514.0605,491488.3082,505289.1161
13,615378.3036,525963.0889,543354.0236
14,788475.0291,653847.924,830126.9696
