Day ,Rep1,Rep2,Rep3
0,30000,30000,30000
1,117267.3207,63594.8431,41584.21602
2,181592.6355,95432.50635,71376.86442
3,413687.8402,249616.5822,166693.6691
4,714808.3615,396627.1142,325741.2869
5,1012078.114,685897.0698,670988.1253
6,991053.1422,910793.8378,833029.9088
7,1162761.933,948548.3183,1009249.4
8,1130692.275,981457.3007,956285.839
9,1197789.843,1092687.479,1093509.942
10,1161988.317,1070354.535,1059328.935
11,1259961.777,1210336.289,1210977.446
12,1232763.831,1171609.294,1209687.239
13,1272816.389,1209478.642,1246578.128
14,1294198.722,1210914.484,1252396.418
