Day,Rep1,Rep2,Rep3
0,30000,30000,30000
1,23686.63342,19747.80098,23145.95017
2,46670.84721,41425.07822,41347.82059
3,104127.0037,82174.21225,85730.79665
4,233098.3427,190837.5184,179923.2261
5,424791.1018,317650.2096,312711.9692
6,463822.1247,372288.9557,378928.546
7,537414.2219,587898.1176,570414.5238
8,478517.8955,496007.7972,472873.1623
9,716429.9412,752438.2443,713021.5341
10,637358.3196,552844.7211,573540.2738
11,811185.282,702671.0543,772425.8023
12,750068.8502,640631.8564,631745.4267
13,892769.2784,827105.0997,828043.7859
14,976743.996,997125.3516,1120585.566
