Day,Rep1,Rep2,Rep3
0,30000,30000,30000
1,30933.70844,18220.17735,23333.58348
2,53960.68937,34553.8039,37820.25826
3,97772.58137,62773.97929,61294.88798
4,190966.9123,129083.4332,134365.6638
5,350434.5401,237056.7175,239684.7607
6,579873.0195,502717.6722,456090.243
7,812330.557,691610.2616,724508.5015
8,966611.8045,930497.1739,973521.9257
9,1147493.368,1104299.583,1137979.853
10,1042543.661,1049200.163,1071515.829
11,1261675.331,1254722.413,1248995.941
12,1080831.246,1044429.517,1047389.438
13,1230627.103,1243523.018,1257051.502
14,1124446.814,1088705.989,1149928.598
