Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,7500,7500,7500,22500,22500,22500
1,42379.14413,31893.3587,33457.69662,34331.57872,27724.02747,32442.69872
2,69970.01723,50381.37447,54591.2778,64944.49991,47096.94623,51580.52873
3,116508.4799,90419.40045,86554.3774,108837.6753,87084.24837,88462.17018
4,148767.8567,88353.21307,106050.1945,209961.9575,153052.4725,172067.9952
5,208010.8809,140481.1697,153671.0319,368321.0318,308208.5409,319469.7505
6,170591.1984,129584.2397,155288.4926,522358.8465,473209.4805,475039.4317
7,292821.4922,184049.9769,243293.0011,925564.6909,873653.2232,871083.8306
8,179112.2441,125833.2844,101342.266,745329.4653,699930.95,587784.8925
9,181396.8325,117778.4528,109617.515,1087275.779,1109616.51,1030404.224
10,210586.6706,105204.334,87387.68738,1175899.681,942254.0798,933440.3378
11,414422.2406,160259.9833,133587.4234,1215472.432,1182421.742,1191938.282
12,251272.9811,187120.9062,274421.3305,739871.6307,691419.0477,1043510.751
13,380827.3914,231294.1578,719481.0718,1252895.069,1219313.396,1309220.761
14,311286.006,160970.8121,133407.439,904350.7651,754072.597,940012.8795
