time,S,R,T
0,38000,2000,40000
0.2,42483.5877487094,2252.18920279956,44735.776951509
0.4,47406.0898874097,2530.9724999641,49937.0623873738
0.6,52810.0475576647,2839.13553367749,55649.1830913422
0.8,58731.982544062,3179.14397450696,61911.1265185689
1,65204.5527812626,3553.2783085938,68757.8310898564
1.2,72246.5554554861,3962.99785423457,76209.5533097207
1.4,79887.0063815082,4410.44143722758,84297.4478187358
1.6,88143.7949505892,4897.02409617984,93040.819046769
1.8,97015.6689835722,5423.10779624282,102438.776779815
2,106526.653695155,5990.48371075767,112517.137405913
2.2,116634.600261276,6596.98758361617,123231.587844892
2.4,127352.013587481,7243.7459896857,134595.759577167
2.6,138635.083653813,7928.36609714753,146563.449750961
2.8,150435.373640192,8648.16308996608,159083.536730158
3,162723.090626055,9401.5882306014,172124.678856656
3.2,175391.99944283,10182.0828396307,185574.08228246
3.4,188409.290959577,10987.9357181635,199397.22667774
3.6,201669.197402304,11812.3496740299,213481.547076334
3.8,215077.692128105,12649.5094234851,227727.20155159
4,228531.252636933,13492.9201976782,242024.172834611
4.2,241943.149786448,14336.9217896663,256280.071576114
4.4,255223.048130463,15175.5398508644,270398.587981328
4.6,268245.663251174,16000.6614371203,284246.324688294
4.8,280917.020205222,16806.0546648676,297723.07487009
5,293225.193297141,17590.7238209949,310815.917118136
5.2,305050.828829958,18346.6725482865,323397.501378244
5.4,316314.491787356,19068.4197848363,335382.911572192
5.6,327021.370576022,19756.1481538965,346777.518729919
5.8,337105.783852736,20405.1682437457,357510.952096481
6,346530.663717621,21012.6592707185,367543.322988339
6.2,355306.880911473,21579.2415126864,376886.12242416
6.4,363452.043144055,22105.9118307078,385557.954974763
6.6,370971.588815868,22592.6311100159,393564.219925884
6.8,377889.827179438,23040.8207682081,400930.647947647
7,384230.074484677,23452.1199405769,407682.194425254
7.2,390045.114123982,23829.7316785157,413874.845802498
7.4,395389.341796161,24177.1240633285,419566.465859489
7.6,400147.367496784,24486.5265071999,424633.894003984
7.8,404451.263621457,24766.5872403575,429217.850861814
8,408352.444906851,25020.6237183292,433373.06862518
8.2,411909.036165713,25252.4138334326,437161.449999145
8.4,415171.428130766,25465.2301889326,440636.658319699
8.6,418014.651424461,25650.6327437527,443665.284168213
8.8,420571.848306353,25817.4504203627,446389.298726715
9,422882.79579284,25968.2816144731,448851.077407313
9.2,424988.953441846,26105.8490212555,451094.802463102
9.4,426917.154941161,26231.8987339496,453149.05367511
9.6,428597.259680599,26341.6413028156,454938.900983415
9.8,430107.124825424,26440.2886059652,456547.41343139
10,431466.331769665,26529.1293274776,457995.461097143
10.2,432692.986035739,26609.3632418149,459302.349277554
10.4,433799.355918429,26681.7801860732,460481.136104502
10.6,434781.276682391,26745.9801313084,461527.256813699
10.8,435657.52896413,26803.2717213556,462460.800685486
11,436435.054773069,26854.1119157259,463289.166688795
11.2,437118.743964383,26898.8263456902,464017.570310074
11.4,437719.937211773,26938.1522289785,464658.089440751
11.6,438265.083632662,26973.7911590343,465238.874791697
11.8,438746.426346427,27005.2603785584,465751.686724986
12,439168.397665772,27032.8551118665,466201.252777638
12.2,439534.220513196,27056.7930655064,466591.013578703
12.4,439853.460688705,27077.6937341012,466931.154422807
12.6,440143.048450287,27096.6432351118,467239.691685399
12.8,440398.744000999,27113.3833615482,467512.127362548
13,440624.430440519,27128.1706636842,467752.601104203
13.2,440823.374744444,27141.2218257529,467964.596570197
13.4,440990.814418681,27152.2137143213,468143.028133003
13.6,441127.07156203,27161.1529558146,468288.224517844
13.8,441245.563487726,27168.9311376991,468414.494625425
14,441350.69977684,27175.8363111404,468526.53608798
14.2,441446.890010442,27182.156527304,468629.046537746
14.4,441538.543769601,27188.1798373551,468726.723606956
14.6,441630.070635389,27194.1942924594,468824.264927848
14.8,441708.687549343,27199.3638086975,468908.05135804
15,441762.05520414,27202.8813166723,468964.936520813
15.2,441810.08011233,27206.0481293205,469016.12824165
15.4,441854.986770301,27209.0094267639,469063.996197064
15.6,441898.999674443,27211.9103891243,469110.910063568
15.8,441944.343321148,27214.8961965236,469159.239517672
16,441993.242206806,27218.1120290837,469211.354235889
16.2,442036.44622192,27220.9544175335,469257.400639454
16.4,442064.864322042,27222.8302706445,469287.694592686
16.6,442091.146414032,27224.5649642071,469315.711378239
16.8,442116.051850925,27226.2080865037,469342.259937429
17,442140.339985755,27227.8092258166,469368.149211572
17.2,442164.770171556,27229.4179704282,469394.188141984
17.4,442190.101761361,27231.0839086208,469421.185669982
17.6,442212.324156931,27232.5434953117,469444.867652243
17.8,442227.43540308,27233.5337528094,469460.969155889
18,442240.56326313,27234.3910427687,469474.954305899
18.2,442251.855189523,27235.124783986,469486.979973509
18.4,442261.458634701,27235.7443952574,469497.203029958
18.6,442269.521051106,27236.2592953791,469505.780346485
18.8,442276.189891179,27236.6789031475,469512.868794327
19,442281.812120688,27237.0306794064,469518.842800094
19.2,442286.736768745,27237.3422715889,469524.079040334
19.4,442290.927109922,27237.6064432328,469528.533553155
19.6,442294.556310768,27237.8349384687,469532.391249236
19.8,442297.79753783,27238.0395014269,469535.837039257
20,442300.82395766,27238.2318762378,469539.055833898
20.2,442303.808736806,27238.4238070318,469542.232543838
20.4,442305.632031708,27238.5374793861,469544.169511095
20.6,442305.545339353,27238.5207992659,469544.066138619
20.8,442305.175393227,27238.4861901013,469543.661583329
21,442304.640728526,27238.4416120576,469543.082340584
21.2,442304.059880442,27238.3950253,469542.454905742
21.4,442303.551384168,27238.3543899938,469541.905774162
21.6,442303.233774899,27238.3276663041,469541.561441203
21.8,442303.225587828,27238.3228143964,469541.548402224
22,442303.645358148,27238.3477944357,469541.993152583
22.2,442304.611621052,27238.4105665875,469543.022187639
22.4,442306.242911734,27238.5190910168,469544.762002751
22.6,442308.657765388,27238.6813278891,469547.339093277
22.8,442311.974717207,27238.9052373694,469550.879954576
23,442312.558637401,27238.9444954437,469551.503132844
23.2,442312.980827768,27238.9732198182,469551.954047586
23.4,442313.511016311,27239.0096128987,469552.52062921
