time,S,R,T
0,38000,2000,40000
0.2,42406.0316350344,2252.20513368043,44658.2367687148
0.4,47097.8446621614,2531.10441189774,49628.9490740592
0.6,52072.790764282,2839.66698732399,54912.457751606
0.8,57317.7130443444,3180.65917162688,60498.3722159713
1,62809.7063574529,3556.81798859193,66366.5243460448
1.2,68516.7069140303,3970.48814824838,72487.1950622787
1.4,74403.5888943938,4424.63330733887,78828.2222017327
1.6,80424.4815339891,4921.87432486503,85346.3558588541
1.8,86532.1930622493,5464.96605058681,91997.1591128361
2,92671.1919533163,6056.76573209864,98727.9576854149
2.2,98782.1026177902,6700.16179878933,105482.26441658
2.4,104804.494882869,7398.1557207607,112202.650603629
2.6,110672.868983788,8153.81248843907,118826.681472227
2.8,116329.916573206,8970.49346933248,125300.410042539
3,121715.918699741,9851.71710766484,131567.635807406
3.2,126790.519933968,10802.6139438854,137593.133877854
3.4,131503.689037532,11827.4678501785,143331.15688771
3.6,135791.04474392,12929.1672310366,148720.211974956
3.8,139596.879771782,14111.4439921581,153708.32376394
4,142917.282068216,15382.4262903454,158299.708358561
4.2,145778.775253686,16752.8255872085,162531.600840894
4.4,148093.941549476,18223.6822797249,166317.623829201
4.6,149825.280162896,19800.2735953972,169625.553758293
4.8,150962.12136709,21490.6888653347,172452.810232425
5,151607.702778169,23314.9557928306,174922.658570999
5.2,151697.169336528,25275.4846662532,176972.654002781
5.4,151224.213277558,27380.8219841552,178605.035261713
5.6,150283.668399967,29657.0194034992,179940.687803466
5.8,148858.318803337,32110.7354883527,180969.05429169
6,146958.063546272,34753.3217463899,181711.385292662
6.2,144631.790229871,37609.3290384707,182241.119268342
6.4,141913.676617307,40698.0350883704,182611.711705677
6.6,138817.546363465,44031.4211422449,182848.96750571
6.8,135376.00197888,47632.3192554127,183008.321234293
7,131630.744576792,51531.8482362237,183162.592813016
7.2,127604.112461251,55743.4917876217,183347.604248872
7.4,123326.09917149,60288.8221868629,183614.921358353
7.6,118830.030518367,65204.7749926977,184034.805511064
7.8,114144.864333623,70508.1474017373,184653.011735361
8,109301.022255587,76222.4854219592,185523.507677547
8.2,104323.117471062,82372.3262320954,186695.443703158
8.4,99242.1674416903,88981.1141671314,188223.281608822
8.6,94088.5976033505,96072.3945870194,190160.99219037
8.8,88891.9901092121,103669.856751882,192561.846861094
9,83676.6869900636,111772.09525897,195448.782249034
9.2,78465.7685497599,120371.662363448,198837.430913207
9.4,73291.6156135118,129505.650014581,202797.265628093
9.6,68182.2770764542,139190.404782635,207372.681859089
9.8,63164.6326522852,149429.52875668,212594.161408965
10,58250.7502782899,160065.170550824,218315.920829114
10.2,53474.9093794666,171181.591661217,224656.501040684
10.4,48863.1592720456,182773.342557934,231636.50182998
10.6,44441.5492722568,194834.973711049,239276.522983306
10.8,40211.0138125953,207207.67558923,247418.689401826
11,36189.2505220238,219835.000426424,256024.250948448
11.2,32402.6424197585,232713.536396362,265116.17881612
11.4,28866.5743872321,245782.670072603,274649.244459835
11.6,25564.6962091732,258860.149898317,284424.84610749
11.8,22519.6245536115,271913.081316467,294432.705870078
12,19731.4766754969,284850.834666857,304582.311342354
12.2,17182.7931029616,297564.828989143,314747.622092105
12.4,14884.9959852238,309975.980433238,324860.976418462
12.6,12826.9392318466,322010.380376882,334837.319608728
12.8,10991.1834643044,333601.803985867,344592.987450171
13,9370.56956332832,344683.377595324,354053.947158652
13.2,7944.44612912367,355231.464030261,363175.910159384
13.4,6702.07650343303,365184.073810728,371886.150314161
13.6,5624.15036970511,374552.748501181,380176.898870886
13.8,4696.68938506454,383289.826445623,387986.515830688
14,3903.27155872376,391427.206876529,395330.478435252
14.2,3228.25329318464,398945.278268165,402173.53156135
14.4,2658.32523767375,405869.591429161,408527.916666835
14.6,2179.40054586165,412216.436381913,414395.836927774
14.8,1778.59673983046,418004.418324472,419783.015064303
15,1445.35019180248,423271.292992347,424716.64318415
15.2,1169.6983016515,428045.89176267,429215.590064321
15.4,942.427650777535,432362.168809511,433304.596460288
15.6,756.237238798128,436252.763527476,437009.000766274
15.8,604.276741249559,439750.540872975,440354.817614225
16,481.048466833737,442887.21422676,443368.262693594
16.2,381.746818370074,445693.113691637,446074.860510007
16.4,301.845614580272,448198.0419713,448499.88758588
16.6,237.744900025307,450430.188449737,450667.933349762
16.8,186.566670932995,452415.742278483,452602.308949416
17,145.920462824513,454178.985938017,454324.906400842
17.2,113.764631011338,455742.519871202,455856.284502213
17.4,88.4080482321972,457127.13239992,457215.540448152
17.6,68.4767954557343,458351.734475095,458420.21127055
17.8,52.8457390131663,459433.617363386,459486.463102399
18,40.6526257011062,460388.196377654,460428.849003355
18.2,31.1604315902526,461229.598888873,461260.759320463
18.4,23.8088778370041,461970.383575151,461994.192452988
18.6,18.1395282665376,462621.820531334,462639.9600596
18.8,13.7799381123657,463194.058729118,463207.83866723
19,10.4353469848148,463696.180017856,463706.61536484
19.2,7.87716525948301,464136.263973652,464144.141138911
19.4,5.92726487245477,464521.499133763,464527.426398636
19.6,4.44692117824541,464858.2681881,464862.715109278
19.8,3.32685218454323,465152.240794818,465155.567647002
20,2.48324532019872,465408.427954751,465410.911200071
20.2,1.84800112996259,465631.294869259,465633.142870389
20.4,1.370171798543,465824.787028191,465826.157199989
20.6,1.01228740777422,465992.385411713,465993.397699121
20.8,0.745874023963876,466137.163103711,466137.908977735
21,0.548422470235493,466261.833679268,466262.382101738
21.2,0.40214538715993,466368.79580079,466369.197946177
21.4,0.293764613496047,466460.16627913,466460.460043744
21.6,0.213748807693856,466537.808365246,466538.022114053
21.8,0.155052797823379,466603.363221495,466603.518274293
22,0.112202549358634,466658.278389824,466658.390592373
22.2,0.0809777017210049,466703.830186609,466703.911164311
22.4,0.0582478578949544,466741.143261876,466741.201509734
22.6,0.0417501268492601,466771.206601142,466771.248351269
22.8,0.0298334629150109,466794.890932497,466794.92076596
23,0.0212643056359281,466812.96302746,466812.984291766
23.2,0.015116650690227,466826.097976593,466826.113093243
23.4,0.0107127002409051,466834.889866275,466834.900578975
23.6,0.00756623112838861,466839.861370458,466839.86893669
23.8,0.00533037500406065,466841.471831037,466841.477161412
24,0.00374773395433385,466840.126054065,466840.129801799
24.2,0.00262820395783981,466836.180388611,466836.183016814
24.4,0.00183587853372802,466829.948300871,466829.950136749
24.6,0.00127811619674823,466821.705070941,466821.706349057
24.8,0.000887935425020521,466811.692840969,466811.693728905
25,0.000615150293957963,466800.124817314,466800.125432464
