time,S,R,T,dose_u1
0,22500,7500,30000,1.5
0.2,25178.681970546,8470.58315663035,33649.2651271763,1.5
0.4,28045.1575805357,9546.32747619474,37591.4850567305,1.5
0.6,31108.3168620285,10744.1056724348,41852.4225344633,1.5
0.8,34364.8005661503,12077.1705584187,46441.971124569,1.5
1,37803.9817864291,13557.4495648788,51361.4313513079,1.5
1.2,41427.6001523349,15217.0352979924,56644.6354503273,1.5
1.4,45184.5186985069,17037.6984678828,62222.2171663897,1.5
1.6,49059.5059844266,19040.9238035035,68100.4297879301,1.5
1.8,53026.6827004612,21244.1538886618,74270.836589123,1.5
2,57053.4988920408,23660.6608746769,80714.1597667177,1.5
2.2,61100.8424928112,26334.2639526647,87435.1064454759,1.5
2.4,65124.9808525009,29231.8918830782,94356.8727355792,1.5
2.6,69084.4509164848,32374.6917827918,101459.142699277,1.5
2.8,72932.7977785798,35783.9955951512,108716.793373731,1.5
3,76624.3928859307,39472.1751303565,116096.568016287,1.5
3.2,80078.743080475,43495.059131692,123573.802212167,1.5
3.4,83296.4159304028,47801.6769004214,131098.092830824,1.5
3.6,86235.8472554052,52403.803930709,138639.651186114,1.5
3.8,88843.1056621135,57328.665709452,146171.771371566,1.5
4,91082.5971022501,62586.4123191964,153669.009421447,1.25
4.2,93431.4364125522,68239.4059065979,161670.84231915,1.25
4.4,95410.1536950293,74214.7186208463,169624.872315876,1.25
4.6,97013.8110947791,80498.6033344151,177512.414429194,1.25
4.8,98187.2422400519,87122.7702947408,185310.012534793,1.25
5,98913.5687560107,94091.103994524,193004.672750535,1
5.2,99997.0905759286,101448.92371857,201446.014294499,1
5.4,100665.299610095,109106.417673109,209771.717283204,1
5.6,100934.841762709,117038.509232301,217973.35099501,1
5.8,100764.862988722,125263.16616219,226028.029150912,1
6,100157.102346542,133771.643204393,233928.745550935,0.75
6.2,100307.11055901,142568.545477341,242875.656036351,0.75
6.4,100062.804887847,151557.392044898,251620.196932745,0.75
6.6,99451.3775812108,160707.253684336,260158.631265546,0.75
6.8,98447.1271345581,170012.9526823,268460.079816858,0.75
7,97064.0270358269,179453.079055481,276517.106091308,0.5
7.2,96954.8066834707,188972.17774361,285926.984427081,0.5
7.4,96502.5940387673,198487.15713123,294989.751169998,0.5
7.6,95736.2964917114,207972.483152284,303708.779643995,0.5
7.8,94639.4971628654,217400.76762318,312040.264786045,0.5
8,93229.6254533166,226748.480588536,319978.106041853,0.25
8.2,93759.3364169973,235893.889664434,329653.226081431,0.25
8.4,94008.6289798939,244787.724953555,338796.353933449,0.25
8.6,94000.4051097964,253425.913558817,347426.318668614,0.25
8.8,93720.379433268,261770.280637273,355490.660070541,0.25
9,93181.6393770323,269811.322628753,362992.962005785,0
9.2,95627.8782124038,277355.900564645,372983.778777049,0
9.4,97904.9344178008,284389.066931451,382294.001349252,0
9.6,100022.706557805,290938.619024459,390961.325582264,0
9.8,101968.740803283,296964.78456853,398933.525371813,0
10,103747.849736725,302480.501134879,406228.350871605,0
10.2,105343.847248701,307434.525404009,412778.372652711,0
10.4,106801.201188505,311962.099745282,418763.300933787,0
10.6,108133.760769591,316105.056278344,424238.817047935,0
10.8,109337.104814771,319849.056861296,429186.161676067,0
11,110419.673941645,323219.54736066,433639.221302305,0
11.2,111374.775463587,326195.220838291,437569.996301878,0
11.4,112236.599935494,328881.584772753,441118.184708246,0
11.6,113016.463694816,331313.485352932,444329.949047748,0
11.8,113713.32419593,333487.450631652,447200.774827581,0
12,114334.178352429,335425.025378117,449759.203730546,0
12.2,114876.670002327,337118.683200853,451995.35320318,0
12.4,115362.819045649,338636.842308141,453999.661353789,0
12.6,115800.103988754,340002.719004464,455802.822993218,0
12.8,116188.500837777,341216.165815644,457404.666653421,0
13,116532.650986903,342291.593578457,458824.24456536,0
13.2,116831.720009692,343226.339266583,460058.059276275,0
13.4,117098.699964986,344060.909693887,461159.609658874,0
13.6,117338.045834915,344809.189161421,462147.234996335,0
13.8,117549.925632704,345471.680712128,463021.606344833,0
14,117737.132286188,346057.089750305,463794.222036493,0
14.2,117899.300591262,346564.257918446,464463.558509708,0
14.4,118043.765467318,347016.09482702,465059.860294338,0
14.6,118173.042348916,347420.455609822,465593.497958738,0
14.8,118287.277001003,347777.789638322,466065.066639325,0
15,118388.045265883,348093.018260872,466481.063526755,0
15.2,118475.193945607,348365.657445801,466840.851391408,0
15.4,118552.741100436,348608.268838804,467161.00993924,0
15.6,118622.067648392,348825.16918578,467447.236834172,0
15.8,118683.267921526,349016.651722221,467699.919643746,0
16,118737.206569461,349185.419448215,467922.626017676,0
16.2,118783.814245734,349331.254005845,468115.068251579,0
16.4,118825.036641783,349460.241048216,468285.277689999,0
16.6,118861.451729601,349574.188087223,468435.639816824,0
16.8,118893.61670464,349674.837837611,468568.454542251,0
17,118922.025847817,349763.736382206,468685.762230023,0
17.2,118947.089763404,349842.168113991,468789.257877395,0
17.4,118969.250309129,349911.515265605,468880.765574734,0
17.6,118988.820693178,349972.757674451,468961.578367629,0
17.8,119006.102411808,350026.838589739,469032.941001546,0
18,119021.362598922,350074.593797225,469095.956396147,0
18.2,119034.823037726,350116.717206538,469151.540244263,0
18.4,119046.722113954,350153.95469503,469200.676808984,0
18.6,119057.228726645,350186.83473989,469244.063466536,0
18.8,119066.505328786,350215.865663669,469282.370992455,0
19,119074.695766127,350241.497577938,469316.193344065,0
19.2,119081.919427232,350264.104068456,469346.023495688,0
19.4,119088.304557897,350284.086443029,469372.391000926,0
19.6,119093.941998837,350301.728965359,469395.670964196,0
19.8,119098.919086329,350317.304937106,469416.224023434,0
20,119103.313126738,350331.056276728,469434.369403466,0
20.2,119107.18827191,350343.18373872,469450.37201063,0
20.4,119110.613409974,350353.902900958,469464.516310932,0
20.6,119113.63733005,350363.366444879,469477.003774929,0
20.8,119116.3069283,350371.721129272,469488.028057571,0
21,119118.663707595,350379.096835939,469497.760543533,0
