time,S,R,T,dose_u1
0,28500,1500,30000,0
0.2,31951.0357127051,1694.12508229611,33645.1607950012,0
0.4,35750.1943137253,1909.27690365319,37659.4712173785,0
0.6,39949.6123774179,2148.77719713243,42098.3895745503,0
0.8,44587.8331754938,2415.17412408967,47003.0072995835,0
1,49697.3626572271,2710.68668586313,52408.0493430902,1.5
1.2,54447.6731061529,3041.71219238882,57489.3852985417,1.5
1.4,59374.6112346985,3404.98986416565,62779.6010988641,1.5
1.6,64460.497469166,3804.95704976021,68265.4545189262,1.5
1.8,69675.216545999,4245.30692041513,73920.5234664142,1.5
2,74979.789308711,4729.04373531216,79708.8330440232,1.5
2.2,80330.6690763987,5265.5666073181,85596.2356837168,1.5
2.4,85673.961262274,5848.68374139263,91522.6450036666,1.5
2.6,90963.2203945194,6483.6045624623,97446.8249569817,1.5
2.8,96147.0901590071,7175.67559480976,103322.765753817,1.5
3,101175.227635301,7928.73028481611,109103.957920117,0
3.2,110989.96842755,8750.27676942774,119740.245196977,0
3.4,121356.878112616,9622.76883388862,130979.646946505,0
3.6,132251.023722956,10544.4515114392,142795.475234395,0
3.8,143670.388127582,11515.7770883997,155186.165215981,0
4,155566.537284931,12532.9209736789,168099.45825861,1.5
4.2,158107.074650707,13619.6302293013,171726.704880008,1.5
4.4,160110.648010986,14781.2299245055,174891.877935492,1.5
4.6,161589.66528688,16020.7436283698,177610.408915249,1.5
4.8,162500.325823662,17351.7165778323,179852.042401495,1.5
5,162850.087287623,18782.7034971844,181632.790784808,0
5.2,175163.360081405,20298.5284325577,195461.888513962,0
5.4,187700.394099118,21848.5612569412,209548.955356059,0
5.6,200372.677052035,23421.3532444061,223794.030296441,0
5.8,213109.86724266,25008.5585532051,238118.425795865,0
6,225809.763207844,26598.0525593102,252407.815767154,0
6.2,238374.052433533,28176.3458714166,266550.39830495,0
6.4,250728.872615711,29733.2324512906,280462.105067002,0
6.6,262813.03774065,31260.2559469494,294073.293687599,0
6.8,274529.643897348,32745.0800752174,307274.723972565,0
7,285810.83121168,34178.5702098116,319989.401421492,0
7.2,296518.409360874,35543.0833208498,332061.492681724,0
7.4,306719.609217967,36845.8212944533,343565.43051242,0
7.6,316411.739129503,38085.8387957324,354497.577925235,0
7.8,325522.766024403,39253.7026840962,364776.468708499,0
8,334037.064262068,40346.9723444674,374384.036606536,0
8.2,341860.11224527,41353.3175401005,383213.42978537,0
8.4,349133.477490256,42290.1875283435,391423.665018599,0
8.6,355894.026507114,43162.0002163732,399056.026723487,0
8.8,362105.743070879,43963.9620101557,406069.705081035,0
9,367787.325740977,44698.2540567666,412485.579797744,0
9.2,372890.284072882,45358.4852242037,418248.769297086,0
9.4,377556.691162122,45962.7055569593,423519.396719081,0
9.6,381830.920308118,46516.5190424839,428347.439350602,0
9.8,385699.558590916,47018.118410632,432717.677001548,0
10,389189.235827627,47470.8595504088,436660.095378035,0
10.2,392278.691484093,47871.9292966825,440150.620780775,0
10.4,395074.884851771,48235.0898475525,443309.974699323,0
10.6,397613.033522208,48564.8632686199,446177.896790828,0
10.8,399889.377105047,48860.7346049577,448750.111710005,0
11,401925.388500807,49125.4603036042,451050.848804411,0
11.2,403712.752054498,49357.9383400656,453070.690394564,0
11.4,405320.681140144,49567.1299444665,454887.811084611,0
11.6,406772.528585779,49756.0559803242,456528.584566103,0
11.8,408067.706792949,49924.6310042372,457992.337797187,0
12,409220.544701203,50074.7086039624,459295.253305166,0
12.2,410227.657863681,50205.8412455993,460433.499109281,0
12.4,411130.549607096,50323.4198073177,461453.969414413,0
12.6,411943.357406292,50429.2798349612,462372.637241253,0
12.8,412666.277322171,50523.4439885272,463189.721310698,0
13,413308.086901779,50607.0519671528,463915.138868932,0
13.2,413867.146989607,50679.8881037045,464547.035093312,0
13.4,414367.389595689,50745.066252026,465112.455847715,0
13.6,414816.97010312,50803.6473089383,465620.617412058,0
13.8,415216.163729559,50855.6662460527,466071.829975612,0
14,415570.03478146,50901.7818819953,466471.816663456,0
14.2,415877.812403414,50941.8931038561,466819.70550727,0
14.4,416151.4814658,50977.5606495642,467129.042115364,0
14.6,416394.524265469,51009.2378713643,467403.762136833,0
14.8,416610.332732928,51037.3664460988,467647.699179027,0
15,416801.937272969,51062.3410456491,467864.278318618,0
15.2,416971.862751673,51084.4905239353,468056.353275608,0
15.4,417122.866287784,51104.1740270173,468227.040314802,0
15.6,417256.898776197,51121.6457044311,468378.544480629,0
15.8,417375.855162952,51137.1524440515,468513.007607003,0
16,417481.424698921,51150.9143556817,468632.339054602,0
16.2,417575.013392936,51163.1146493241,468738.12804226,0
16.4,417658.153134429,51173.952950533,468832.106084962,0
16.6,417731.927019598,51183.5704082466,468915.497427844,0
16.8,417797.385475667,51192.1039221381,468989.489397805,0
