time,S,R,T,dose_u1
0,30000,10000,40000,0
0.2,33539.500306192,11260.8757983207,44800.3761045127,0
0.4,37413.950364978,12650.1416812498,50064.0920462278,0
0.6,41667.4665551624,14185.7649162271,55853.2314713895,0
0.8,46331.4754156563,15881.1345324591,62212.6099481154,0
1,51428.2681391586,17746.273214717,69174.5413538756,1.5
1.2,56082.3567867515,19815.718938946,75898.0757256975,1.5
1.4,60852.5313760384,22065.8979866223,82918.4293626607,1.5
1.6,65706.423065342,24515.3800504433,90221.8031157853,1.5
1.8,70601.9436432869,27180.6856068987,97782.6292501856,1.5
2,75489.96701969,30071.7493313404,105561.71635103,0
2.2,82891.0905775771,33220.9664525875,116112.057030165,0
2.4,90718.7144273595,36569.9628649086,127288.677292268,0
2.6,98957.2498649007,40113.5556871781,139070.805552079,0
2.8,107605.45161724,43853.6410963321,151459.092713572,0
3,116627.231966256,47775.8216390503,164403.053605307,1.5
3.2,120335.436684567,51935.9443944656,172271.381079033,1.5
3.4,123571.776507683,56321.4254760937,179893.201983776,1.5
3.6,126329.558333406,60923.2517207625,187252.810054168,1.5
3.8,128533.317480482,65767.7534677562,194301.070948238,1.5
4,130157.710630593,70862.945491263,201020.656121856,0
4.2,139268.526774704,76156.0463871546,215424.573161858,0
4.4,148446.160320329,81509.231968621,229955.39228895,0
4.6,157627.179706499,86883.3701747719,244510.549881271,0
4.8,166741.356663089,92239.3071284652,258980.663791554,0
5,175711.809186191,97530.8235885503,273242.632774741,1.5
5.2,171327.291815271,102952.367263638,274279.659078909,1.5
5.4,166544.562940912,108630.171368277,275174.734309188,1.5
5.6,161422.502879533,114563.283041236,275985.785920769,1.5
5.8,155967.808435817,120790.718540949,276758.526976766,1.5
6,150221.488572615,127328.585465844,277550.074038458,0
6.2,157541.061780628,133943.072720518,291484.134501146,0
6.4,164640.503229315,140376.344912664,305016.848141978,0
6.6,171495.207284627,146602.877163934,318098.084448561,0
6.8,178048.103979423,152569.996647099,330618.100626522,0
7,184269.299504433,158248.099319163,342517.398823596,1.5
7.2,171697.07013942,164077.418593274,335774.488732694,1.5
7.4,159730.099042304,170377.475133974,330107.574176277,1.5
7.6,148300.461116998,177116.422033717,325416.883150715,1.5
7.8,137425.359703422,184327.104201163,321752.463904585,1.5
8,127076.439301092,191997.645192889,319074.084493981,0
8.2,131859.228818448,199698.277436732,331557.50625518,0
8.4,136405.216934928,207033.198810074,343438.415745002,0
8.6,140713.721048893,213997.810787317,354711.53183621,0
8.8,144751.858484965,220537.638076926,365289.496561891,0
9,148513.263079624,226639.820641052,375153.083720675,1.5
9.2,133334.473055145,232908.890946263,366243.364001407,1.5
9.4,119484.64140994,239803.811372354,359288.452782295,1.5
9.6,106891.915209187,247291.064169845,354182.979379032,1.5
9.8,95450.0706818098,255309.224520555,350759.295202365,1.5
10,85043.2180750137,263781.564652352,348824.782727366,0
10.2,87584.3758228805,272178.270397612,359762.646220493,0
10.4,89964.8340553038,280057.216599663,370022.050654967,0
10.6,92191.3314364934,287437.332493724,379628.663930217,0
10.8,94249.2695470414,294268.764413002,388518.033960043,0
11,96140.9551349777,300556.755834957,396697.710969935,1.5
11.2,83329.4997243913,306871.657406896,390201.157131287,1.5
11.4,72012.6572406794,313733.81353853,385746.470779209,1.5
11.6,62094.6922316309,321051.870839758,383146.563071389,1.5
11.8,53412.8438922065,328703.805680362,382116.649572568,1.5
12,45816.3055426351,336572.225496372,382388.531039007,0
12.2,46793.3898732204,344215.975380218,391009.365253439,0
12.4,47694.2632555111,351271.966156747,398966.229412258,0
12.6,48524.9664407877,357785.087888742,406310.05432953,0
12.8,49281.5149521438,363722.943006696,413004.45795884,0
13,49967.3806227996,369111.09295221,419078.473575009,1.5
13.2,41788.5022894134,374302.430856015,416090.933145428,1.5
13.4,34809.243668678,379772.714217915,414581.957886594,1.5
13.6,28913.0061250166,385412.044617466,414325.050742483,1.5
13.8,23947.595580612,391109.206678655,415056.802259267,1.5
14,19770.9050686757,396765.63822914,416536.543297816,0
14.2,20024.4724984429,402182.675415895,422207.147914338,0
14.4,20254.6581695139,407103.733341374,427358.391510888,0
14.6,20464.0199957242,411582.373973733,432046.393969457,0
14.8,20652.0331928749,415606.800607868,436258.833800743,0
15,20820.2886817816,419210.307835122,440030.596516903,1.5
15.2,16809.0251825365,422481.608990664,439290.6341732,1.5
15.4,13507.2944067584,425809.341880782,439316.636287541,1.5
15.6,10820.33005535,429121.737576667,439942.067632017,1.5
15.8,8643.21110133009,432357.798371732,441001.009473062,1.5
16,6881.64273432187,435470.041588364,442351.684322686,0
16.2,6926.55892814298,438494.968398423,445421.527326566,0
16.4,6966.87154580741,441210.853173208,448177.724719016,0
16.6,7003.17386860256,443657.328879835,450660.502748437,0
16.8,7035.44808006777,445833.017875954,452868.465956022,0
17,7064.06374018444,447762.612430039,454826.676170224,1.5
17.2,5515.27261274952,449339.884045769,454855.156658519,1.5
17.4,4284.16488075505,450896.300242648,455180.465123403,1.5
17.6,3317.80694979526,452401.477800233,455719.284750028,1.5
17.8,2562.7445093458,453833.076788349,456395.821297695,1.5
18,1973.26286895343,455176.313753094,457149.576622048,0
18.2,1979.11232524082,456612.103667114,458591.215992355,0
18.4,1984.32876180766,457892.726396764,459877.055158572,0
18.6,1989.00022225859,459039.721784392,461028.722006651,0
18.8,1993.13026946802,460053.92478421,462047.055053678,0
19,1996.77374402979,460948.754124581,462945.52786861,1.5
19.2,1510.29449571021,461507.162345572,463017.456841282,1.5
19.4,1136.22778647291,462047.911347772,463184.139134245,1.5
19.6,852.416591470772,462561.17950144,463413.596092911,1.5
19.8,638.033171551947,463040.58899275,463678.622164302,1.5
20,476.097610544992,463482.661320873,463958.758931418,0
20.2,476.733889532095,464141.738128733,464618.472018266,0
20.4,477.29966136916,464727.825231081,465205.12489245,0
20.6,477.805049696735,465251.394140345,465729.199190042,0
20.8,478.25074255823,465713.149249283,466191.399991842,0
21,478.643101945458,466119.671687816,466598.314789761,1.5
21.2,351.115180402686,466194.359349624,466545.474530026,1.5
21.4,256.125104213526,466270.454327319,466526.579431533,1.5
21.6,186.359726409844,466344.550851281,466530.91057769,1.5
21.8,135.329943407742,466414.239237429,466549.569180837,1.5
22,97.9737737099085,466478.044409043,466576.018182753,0
22.2,98.043590810459,466831.734381486,466929.777972297,0
22.4,98.1056023153373,467145.894084018,467243.999686334,0
22.6,98.1609422221721,467426.264025122,467524.424967344,0
22.8,98.2096987951626,467673.288958909,467771.498657704,0
23,98.2525841897489,467890.574108989,467988.826693179,1.5
23.2,69.9378531777082,467763.904972131,467833.842825309,1.5
23.4,49.4912770454057,467652.35691375,467701.848190795,1.5
23.6,34.9438681989268,467553.658796758,467588.602664957,1.5
23.8,24.631868427114,467465.654456871,467490.286325298,1.5
24,17.3098260346199,467386.55548182,467403.865307855,0
24.2,17.3187493452547,467642.912665568,467660.231414913,0
24.4,17.3266286527835,467869.283491328,467886.610119981,0
24.6,17.333577340812,468068.923130749,468086.25670809,0
24.8,17.3397045139587,468244.964326722,468262.304031236,0
25,17.345106851262,468400.18338084,468417.528487692,0
