time,S,R,T
0,30000,10000,40000
0.2,33539.3647266459,11260.8357850688,44800.2005117147
0.4,37424.5155557956,12654.3818226761,50078.8973784717
0.6,41688.5763542744,14194.3907448929,55882.9670991673
0.8,46359.8355366223,15892.982458973,62252.8179955954
1,51463.3978479655,17761.2978487567,69224.6956967222
1.2,57013.2955909924,19806.3077056801,76819.6032966725
1.4,63031.2413805689,22038.2483350953,85069.4897156643
1.6,69530.1316016806,24463.7106197101,93993.8422213907
1.8,76507.457667143,27083.8746023831,103591.332269526
2,83980.4405979343,29907.0225620543,113887.463159989
2.2,91913.4644553716,32921.3515039626,124834.815959334
2.4,100315.381132506,36132.0809458224,136447.462078328
2.6,109146.270486143,39525.0715735136,148671.342059657
2.8,118369.263987576,43087.4099206007,161456.673908177
3,127954.243026678,46808.6157327544,174762.858759433
3.2,137819.072905906,50656.58313391,188475.656039816
3.4,147934.870675717,54621.5130849291,202556.383760647
3.6,158212.972385885,58666.9882272815,216879.960613166
3.8,168581.849769963,62765.2693081896,231347.119078153
4,178956.125491613,66882.2342963407,245838.359787953
4.2,189270.558899123,70990.7645603724,260261.323459496
4.4,199453.892962239,75061.0114370334,274514.904399273
4.6,209406.826432115,79052.1757411665,288459.002173281
4.8,219055.357628627,82933.1450621382,301988.502690766
5,228402.462740025,86704.1132857171,315106.576025742
5.2,237353.762522144,90324.9890991022,327678.751621246
5.4,245851.518377122,93770.4226527951,339621.941029917
5.6,253904.108794734,97043.3767232136,350947.485517947
5.8,261476.537413723,100127.635857548,361604.173271271
6,268544.83662412,103011.40330362,371556.23992774
6.2,275106.686539843,105692.704078595,380799.390618439
6.4,281173.252476445,108175.6109505,389348.863426945
6.6,286752.155108155,110461.250516918,397213.405625073
6.8,291863.634205651,112556.703160155,404420.337365806
7,296524.743570752,114470.043070177,410994.786640928
7.2,300773.97552381,116215.688380902,416989.663904712
7.4,304653.391453535,117810.518693686,422463.910147221
7.6,308114.983993502,119234.189901327,427349.17389483
7.8,311204.351861216,120505.27033277,431709.622193986
8,313984.893392231,121649.81776624,435634.71115847
8.2,316502.561068241,122686.769620061,439189.330688303
8.4,318808.532110943,123637.34027471,442445.872385653
8.6,320879.878235248,124491.876343303,445371.754578551
8.8,322678.176243052,125233.872466663,447912.048709715
9,324288.011141391,125898.233625762,450186.244767153
9.2,325735.543526197,126495.551264669,452231.094790866
9.4,327046.933993397,127036.416827458,454083.350820855
9.6,328233.352403551,127525.53067194,455758.883075491
9.8,329254.553562431,127947.387974849,457201.94153728
10,330171.135150121,128326.113327777,458497.248477899
10.2,331002.014321281,128669.451634165,459671.465955446
10.4,331766.10823057,128985.147797452,460751.256028022
10.6,332482.334032646,129280.946721078,461763.280753724
10.8,333078.031977991,129527.273259212,462605.305237203
11,333608.059784353,129746.519060534,463354.578844887
11.2,334087.750313729,129944.968332907,464032.718646636
11.4,334527.807679832,130127.01894489,464654.826624722
11.6,334938.935996375,130297.068765037,465236.004761412
11.8,335294.712610219,130444.288962671,465739.00157289
12,335598.989631759,130570.267212987,466169.256844745
12.2,335871.570098326,130683.133101173,466554.703199499
12.4,336118.13082775,130785.22266469,466903.353492439
12.6,336344.348637857,130878.871940997,467223.220578854
12.8,336546.184582763,130962.430020271,467508.614603034
13,336714.255113072,131032.052788628,467746.3079017
13.2,336863.064899874,131093.698869112,467956.763768986
13.4,336995.898145478,131148.722468806,468144.620614284
13.6,337116.039052192,131198.477794795,468314.516846987
13.8,337224.457862981,131243.369192554,468467.827055535
14,337305.558495999,131277.000665114,468582.559161114
14.2,337375.404771154,131305.972349297,468681.377120451
14.4,337436.32196868,131331.244822425,468767.566791105
14.6,337490.635368814,131353.77866182,468844.414030634
14.8,337540.67025179,131374.534444806,468915.204696596
15,337588.751897844,131394.472748705,468983.224646549
15.2,337637.205587211,131414.55415084,469051.759738052
15.4,337677.295210404,131431.177215242,469108.472425646
15.6,337702.98684221,131441.854959089,469144.841801299
15.8,337725.892645588,131451.378118795,469177.270764383
16,337747.226832003,131460.249037174,469207.475869178
16.2,337768.20361292,131468.970057038,469237.173669959
16.4,337790.037199803,131478.0435212,469268.080721004
16.6,337813.941804117,131487.971772473,469301.91357659
16.8,337841.131637325,131499.257153669,469340.388790994
17,337857.909032359,131506.234729504,469364.143761863
17.2,337870.706158268,131511.564893869,469382.271052138
17.4,337882.787692634,131516.598024566,469399.3857172
17.6,337894.560407521,131521.502522355,469416.062929876
17.8,337906.431074996,131526.446787998,469432.877862995
18,337918.806467128,131531.599222256,469450.405689384
18.2,337932.093355982,131537.128225889,469469.221581871
18.4,337945.587004948,131542.738692547,469488.325697495
18.6,337953.21802057,131545.898415397,469499.116435967
18.8,337959.892418305,131548.652012047,469508.544430351
19,337965.666485707,131551.021728697,469516.688214405
19.2,337970.596510336,131553.029811548,469523.626321884
19.4,337974.738779746,131554.6985068,469529.437286546
19.6,337978.149581495,131556.050060651,469534.199642146
19.8,337980.88520314,131557.106719303,469537.991922443
20,337983.214095904,131558.003860255,469541.217956159
20.2,337985.312650035,131558.827771647,469544.140421682
20.4,337987.084530569,131559.519317301,469546.60384787
20.6,337988.60564221,131560.111203801,469548.716846011
20.8,337989.951889663,131560.636137731,469550.588027394
21,337991.199177632,131561.126825675,469552.326003307
21.2,337992.423410823,131561.615974216,469554.039385039
21.4,337993.70049394,131562.136289938,469555.836783879
21.6,337993.859930588,131562.16911387,469556.029044458
21.8,337993.685515964,131562.06029933,469555.745815294
22,337993.425232368,131561.918674191,469555.343906559
22.2,337993.129446772,131561.765648012,469554.895094784
22.4,337992.848526151,131561.62263035,469554.471156501
22.6,337992.632837477,131561.511030764,469554.143868241
22.8,337992.532747724,131561.452258811,469553.985006535
23,337992.598623866,131561.46772405,469554.066347916
23.2,337992.880832875,131561.578836038,469554.459668913
23.4,337993.429741725,131561.807004334,469555.236746059
23.6,337994.295717389,131562.173638496,469556.469355885
23.8,337995.529126841,131562.700148082,469558.229274923
24,337996.893580335,131563.284133319,469560.177713655
24.2,337997.877868354,131563.704538973,469561.582407327
24.4,337998.855586129,131564.122330786,469562.977916915
24.6,337999.798696121,131564.525066591,469564.323762712
24.8,338000.679160792,131564.900304217,469565.579465008
25,338001.4689426,131565.235601497,469566.704544097
