time,S,R,T
0,34000,6000,40000
0.2,37942.0193157841,6756.57481546362,44698.5941312477
0.4,42139.0789848614,7593.11776663051,49732.1967514919
0.6,46588.3068208741,8518.42351507759,55106.7303359517
0.8,51277.2204441218,9540.63057369945,60817.8510178213
1,56184.3408199344,10667.7229449532,66852.0637648876
1.2,61279.7736070448,11906.3655605082,73186.1391675531
1.4,66530.2965694479,13265.068166085,79795.3647355329
1.6,71892.6230671728,14751.0001283266,86643.6231954994
1.8,77322.4137958249,16371.738711664,93694.1525074889
2,82766.1679685103,18134.7010451454,100900.869013656
2.2,88168.0599131756,20047.3241223221,108215.384035498
2.4,93470.0171628722,22116.8514215972,115586.868584469
2.6,98610.7261371214,24350.5046098949,122961.230747016
2.8,103532.070110569,26755.5310230109,130287.60113358
3,108173.615958146,29339.1216030628,137512.737561209
3.2,112510.422522856,32110.4199735741,144620.84249643
3.4,116488.695205694,35076.9732971021,151565.668502796
3.6,120042.360576929,38245.6461174148,158288.006694344
3.8,123116.926160562,41623.946799894,164740.872960456
4,125657.899480592,45219.3837099217,170877.283190513
4.2,127702.661552833,49046.6577232181,176749.319276051
4.4,129223.236973534,53115.3531501688,182338.590123703
4.6,130165.391949164,57432.9986076591,187598.390556823
4.8,130519.569332833,62010.8505533583,192530.419886191
5,130384.630479031,66869.7659367781,197254.396415809
5.2,129695.549847116,72016.0894721588,201711.639319274
5.4,128445.738697278,77461.3404705351,205907.079167813
5.6,126707.623323218,83223.0065526038,209930.629875822
5.8,124516.44290158,89315.7664529529,213832.209354533
6,121860.432326476,95750.7484917598,217611.180818236
6.2,118763.146538387,102540.698869741,221303.845408129
6.4,115325.33807205,109693.907546512,225019.245618562
6.6,111540.953605602,117224.829863558,228765.78346916
6.8,107440.965760474,125145.783835005,232586.749595479
7,103080.210047208,133451.276426512,236531.48647372
7.2,98509.5512021912,142138.778354299,240648.329556491
7.4,93756.3731844857,151223.286178205,244979.659362691
7.6,88859.8397302654,160708.775723674,249568.615453939
7.8,83870.3766529565,170517.490390334,254387.86704329
8,78823.1008638068,180682.775080987,259505.875944794
8.2,73758.5017985218,191198.984603909,264957.486402431
8.4,68715.0645864837,202046.076357599,270761.140944082
8.6,63716.1149844808,213095.114356007,276811.229340488
8.8,58807.6472389577,224379.995774284,283187.643013242
9,54027.4397458951,235875.601376548,289903.041122443
9.2,49403.4422645313,247529.107046789,296932.549311321
9.4,44931.2287198491,259196.427934612,304127.656654461
9.6,40662.1350314663,270890.660639866,311552.795671332
9.8,36626.4515492224,282565.578684009,319192.030233232
10,32840.3029082108,294153.210910998,326993.513819209
10.2,29288.7509298865,305537.904076237,334826.655006123
10.4,26003.5136185317,316675.623181529,342679.136800061
10.6,22975.9204681633,327510.964511079,350486.884979243
10.8,20196.6062002401,337988.881287212,358185.487487452
11,17678.9913070092,348042.620584484,365721.611891494
11.2,15400.0758226177,357658.953162966,373059.028985584
11.4,13352.996110314,366795.458020148,380148.454130462
11.6,11523.7416479831,375439.504770618,386963.246418601
11.8,9896.33393224414,383581.565521699,393477.899453943
12,8458.82224218815,391208.473972636,399667.296214824
12.2,7196.12931294012,398330.06576206,405526.195075
12.4,6094.61608340832,404939.011819237,411033.627902645
12.6,5139.11955859677,411058.490747143,416197.61030574
12.8,4315.56432055676,416688.44361456,421004.007935117
13,3609.59774382487,421861.469628012,425471.067371837
13.2,3006.82740108187,426586.044384009,429592.871785091
13.4,2497.32523519294,430898.645134456,433395.970369649
13.6,2066.70851163614,434814.387450242,436881.095961879
13.8,1701.87887596083,438353.848635932,440055.727511893
14,1395.29077132294,441550.384824936,442945.675596259
14.2,1139.87958809486,444432.417116692,445572.296704787
14.4,928.110202787662,447023.869672626,447951.979875413
14.6,753.072963196583,449347.967643664,450101.040606861
14.8,609.123359873315,451427.571411002,452036.694770876
15,490.98707800569,453284.987514829,453775.974592835
15.2,394.511456354494,454940.830113881,455335.341570236
15.4,315.942968654254,456414.542131406,456730.48510006
15.6,252.089710162291,457724.4067893,457976.496499462
15.8,200.495278674857,458886.630731388,459087.126010063
16,159.00514170595,459916.160959881,460075.166101587
16.2,125.607704588199,460827.480332667,460953.088037255
16.4,98.9019172100061,461632.755412461,461731.657329671
16.6,77.6392058028664,462343.310014589,462420.949220391
16.8,60.7753787710402,462969.421836668,463030.197215439
17,47.4390133622071,463520.427638899,463567.866652262
17.2,36.913023471473,464004.768059024,464041.681082496
17.4,28.618108918968,464430.017842378,464458.635951297
17.6,22.118456247504,464802.76495843,464824.883414677
17.8,17.0368717732587,465129.034542346,465146.071414119
18,13.0802720234262,465414.138743598,465427.219015621
18.2,10.0152881297961,465662.791358795,465672.806646925
18.4,7.64693381258815,465879.231469298,465886.878403111
