time,S,R,T,dose_u1
0,22500,7500,30000,1.5
0.2,25178.681970546,8470.58315663035,33649.2651271763,1.5
0.4,28045.1575805357,9546.32747619474,37591.4850567305,1.5
0.6,31108.3168620285,10744.1056724348,41852.4225344633,1.5
0.8,34364.8005661503,12077.1705584187,46441.971124569,1.5
1,37803.9817864291,13557.4495648788,51361.4313513079,1.5
1.2,41427.6001523349,15217.0352979924,56644.6354503273,1.5
1.4,45184.5186985069,17037.6984678828,62222.2171663897,1.5
1.6,49059.5059844266,19040.9238035035,68100.4297879301,1.5
1.8,53026.6827004612,21244.1538886618,74270.836589123,1.5
2,57053.4988920408,23660.6608746769,80714.1597667177,1.5
2.2,61100.8424928112,26334.2639526647,87435.1064454759,1.5
2.4,65124.9808525009,29231.8918830782,94356.8727355792,1.5
2.6,69084.4509164848,32374.6917827918,101459.142699277,1.5
2.8,72932.7977785798,35783.9955951512,108716.793373731,1.5
3,76624.3928859307,39472.1751303565,116096.568016287,1.5
3.2,80078.743080475,43495.059131692,123573.802212167,1.5
3.4,83296.4159304028,47801.6769004214,131098.092830824,1.5
3.6,86235.8472554052,52403.803930709,138639.651186114,1.5
3.8,88843.1056621135,57328.665709452,146171.771371566,1.5
4,91082.5971022501,62586.4123191964,153669.009421447,1.5
4.2,92856.1936679216,68244.6643834287,161100.85805135,1.5
4.4,94228.2697897134,74236.8798997277,168465.149689441,1.5
4.6,95199.5166013955,80553.4533000135,175752.969901409,1.5
4.8,95720.5246527894,87229.9936775177,182950.518330307,1.5
5,95785.0399737488,94273.9880268631,190059.028000612,1.25
5.2,96045.0478325073,101741.912835266,197786.960667773,1.25
5.4,95884.4149873391,109543.755111032,205428.170098371,1.25
5.6,95328.4703762543,117656.232418594,212984.702794848,1.25
5.8,94345.5250735159,126104.444214243,220449.969287759,1.25
6,92946.6580260372,134883.189048098,227829.847074135,1
6.2,92059.8016897201,144014.45249472,236074.25418444,1
6.4,90802.3229804506,153396.70427084,244199.027251291,1
6.6,89209.1761622454,162997.479348681,252206.655510927,1
6.8,87266.8304945052,172817.929367122,260084.759861627,1
7,84998.5704612512,182836.210311089,267834.78077234,0.75
7.2,83597.7808718423,193018.549508867,276616.330380709,0.75
7.4,81900.7495140065,203272.619263615,285173.368777622,0.75
7.6,79943.2932418085,213565.936642949,293509.229884758,0.75
7.8,77723.4309942493,223873.186242174,301596.617236423,0.75
8,75267.449113978,234164.492403756,309431.941517734,0.5
8.2,74041.0695009645,244347.158006777,318388.227507741,0.5
8.4,72584.9430142014,254365.835792513,326950.778806714,0.5
8.6,70929.3443372697,264205.042487496,335134.386824766,0.5
8.8,69075.3730013727,273825.275733561,342900.648734934,0.5
9,67045.3919207578,283206.338104651,350251.730025409,0.25
9.2,66656.1415338751,292213.696964106,358869.838497981,0.25
9.4,66087.7706756067,300840.802731688,366928.573407295,0.25
9.6,65361.004300269,309102.327521439,374463.331821708,0.25
9.8,64473.3059962168,316962.043466253,381435.34946247,0.25
10,63438.5872432575,324423.192408154,387861.779651411,0
10.2,64704.5106922273,331316.965801001,396021.476493228,0
10.4,65869.1745293345,337666.421257924,403535.595787259,0
10.6,66941.1049208962,343515.971667474,410457.07658837,0
10.8,67915.5056363587,348838.446271041,416753.951907399,0
11,68797.3683293108,353659.675755843,422457.044085154,0
11.2,69580.1191806797,357942.908572385,427523.027753064,0
11.4,70289.4055713787,361826.615447125,432116.021018504,0
11.6,70933.5591579683,365355.622554903,436289.181712871,0
11.8,71511.2084277403,368522.010708773,440033.219136514,0
12,72027.5420537202,371353.686927052,443381.228980773,0
12.2,72480.0414830046,373836.525542602,446316.567025606,0
12.4,72886.3923664154,376066.933156877,448953.325523292,0
12.6,73252.5388946953,378077.27157099,451329.810465685,0
12.8,73578.2947216187,379866.378726294,453444.673447913,0
13,73867.3526742317,381454.36232636,455321.715000591,0
13.2,74118.8789070747,382836.534308177,456955.413215251,0
13.4,74343.6066376242,384071.679753806,458415.28639143,0
13.6,74545.207305452,385179.89577257,459725.103078022,0
13.8,74723.7774521164,386161.669642905,460885.447095022,0
14,74881.5990636168,387029.494530183,461911.0935938,0
14.2,75018.3816462813,387781.740150901,462800.121797182,0
14.4,75140.250331165,388452.034109177,463592.284440342,0
14.6,75249.3134152536,389051.948148109,464301.261563363,0
14.8,75345.6846350633,389582.094976785,464927.779611848,0
15,75430.6867951819,390049.735727902,465480.422523084,0
15.2,75504.185230021,390454.120103056,465958.305333077,0
15.4,75569.5712728692,390813.890116556,466383.461389425,0
15.6,75628.0105412105,391135.452306221,466763.462847432,0
15.8,75679.5821508129,391419.238268275,467098.820419087,0
16,75725.0169169795,391669.264973849,467394.281890828,0
16.2,75764.2571014444,391885.211972674,467649.469074119,0
16.4,75798.9478050724,392076.127936804,467875.075741876,0
16.6,75829.5782803489,392244.703459845,468074.281740193,0
16.8,75856.6201916029,392393.532761803,468250.152953406,0
17,75880.4920044589,392524.917744132,468405.409748591,0
17.2,75901.5413805418,392640.770919511,468542.312300053,0
17.4,75920.1421021534,392743.148642844,468663.290744997,0
17.6,75936.5592963344,392833.509603872,468770.068900207,0
17.8,75951.0480498905,392913.257352829,468864.305402719,0
18,75963.8343192219,392983.635238078,468947.4695573,0
18.2,75975.1056850916,393045.675468172,469020.781153264,0
18.4,75985.0635104585,393100.486134412,469085.54964487,0
18.6,75993.850534037,393148.852750087,469142.703284124,0
18.8,76001.6039435352,393191.530309145,469193.13425268,0
19,76008.4451572725,393229.187043951,469237.632201223,0
19.2,76014.4749310164,393262.377476856,469276.852407873,0
19.4,76019.8013345499,393291.696396075,469311.497730625,0
19.6,76024.5009487092,393317.565290968,469342.066239678,0
19.8,76028.6473345656,393340.38903877,469369.036373336,0
20,76032.3055681301,393360.525821885,469392.831390015,0
20.2,76035.5296391853,393378.272805564,469413.802444749,0
20.4,76038.3774313434,393393.948590586,469432.326021929,0
