time,S,R,T,dose_u1
0,38000,2000,40000,0
0.2,42483.7580030499,2252.19709932099,44735.9551023708,0
0.4,47392.6947871028,2530.12420004916,49922.818987152,0
0.6,52783.232580525,2837.40688450529,55620.6394650303,0
0.8,58695.8298375951,3176.76207105604,61872.5919086511,0
1,65159.5533988033,3550.24480997504,68709.7982087783,0.25
1.2,71957.9326539401,3964.57782145242,75922.5104753925,0.25
1.4,79203.4234008306,4414.47896151808,83617.9023623487,0.25
1.6,86913.3183651438,4903.15397411529,91816.4723392591,0.25
1.8,95091.4559797408,5433.20533344597,100524.661313187,0.25
2,103718.611718252,6005.72236791608,109724.334086168,0.25
2.2,112825.37859454,6627.73955623413,119453.118150774,0.25
2.4,122284.123533876,7290.19478145926,129574.318315335,0.25
2.6,132053.587984135,7992.89720544922,140046.485189584,0.25
2.8,142101.203945693,8737.56014424629,150838.76408994,0.25
3,152366.589065396,9522.99277855189,161889.581843948,0.25
3.2,162796.560088886,10353.8321414586,173150.392230345,0.25
3.4,173284.11289853,11219.1967110674,184503.309609597,0.25
3.6,183758.316751557,12114.6735733101,195872.990324867,0.25
3.8,194145.328903724,13040.4808984793,207185.809802203,0.25
4,204367.841306991,13993.7387093584,218361.58001635,0.25
4.2,214303.859076554,14975.0692336747,229278.928310229,0.25
4.4,223936.471365811,15975.894953789,239912.3663196,0.25
4.6,233225.983764437,16992.2638779525,250218.24764239,0.25
4.8,242085.062473919,18022.967689814,260108.030163733,0.25
5,250461.822846514,19065.519383776,269527.34223029,0.25
5.2,258230.043528224,20119.4476845278,278349.491212751,0.25
5.4,265476.305838886,21180.9246499945,286657.23048888,0.25
5.6,272208.25715882,22248.1928626892,294456.450021509,0.25
5.8,278361.083146463,23320.947304142,301682.030450605,0.25
6,283924.852876338,24398.8763924831,308323.729268821,0.25
6.2,288809.285010329,25483.4440507536,314292.729061082,0.25
6.4,293154.503994322,26574.2033231248,319728.707317447,0.25
6.6,296997.369347419,27671.4127508398,324668.782098259,0.25
6.8,300301.79101129,28776.8484334287,329078.639444718,0.25
7,303083.784419127,29892.2878649692,332976.072284096,0.25
