time,S,R,T,dose_u1
0,39960,40,40000,0
0.2,44675.1262393937,45.0440494864113,44720.1702888801,0
0.4,49837.5958277728,50.6029538107532,49888.1987815835,0
0.6,55506.8808341585,56.7493822001909,55563.6302163587,0
0.8,61725.6946974856,63.5378650449595,61789.2325625305,0
1,68524.8183101371,71.0097515902546,68595.8280617273,1.5
1.2,74743.1361746079,79.3092145716567,74822.4453891796,1.5
1.4,81129.9128132199,88.348699597026,81218.261512817,1.5
1.6,87648.510705697,98.2125290496648,87746.7232347466,1.5
1.8,94250.6690467969,108.978700374019,94359.647747171,1.5
2,100879.740169169,120.702319623919,101000.442488793,0
2.2,110911.188076309,133.523392977973,111044.711469287,0
2.4,121551.270173941,147.197997700015,121698.468171641,0
2.6,132790.694437241,161.721608383527,132952.416045625,0
2.8,144634.396961284,177.111125636085,144811.50808692,0
3,157041.102964604,193.31881710975,157234.421781714,1.5
3.2,162412.462339345,210.663866992882,162623.126206338,1.5
3.4,167281.10392404,229.153943294521,167510.257867334,1.5
3.6,171631.315989703,248.824693089733,171880.140682793,1.5
3.8,175393.618379772,269.87145908434,175663.489838857,1.5
4,178548.882460528,292.415856780206,178841.298317308,0
4.2,192196.562169403,316.273251860805,192512.835421264,0
4.4,206116.969770777,340.71362515838,206457.683395935,0
4.6,220212.369197184,365.557770558109,220577.926967742,0
4.8,234408.631460503,390.681649299583,234799.313109803,0
5,248608.170688953,415.909119267575,249024.079808221,1.5
5.2,244142.524815869,442.470659019117,244584.995474888,1.5
5.4,239356.612562247,471.201092930737,239827.813655178,1.5
5.6,234300.285860638,502.20899689105,234802.494857529,1.5
5.8,228981.157785001,535.990133655618,229517.147918656,1.5
6,223432.056691675,572.881745579565,224004.938437255,0
6.2,237631.943380951,611.722799385253,238243.666180336,0
6.4,251788.904546147,650.593408635612,252439.497954783,0
6.6,265800.921980713,689.203835402329,266490.125816115,0
6.8,279604.475413666,727.351981532163,280331.827395199,0
7,293095.672429482,764.748436461542,293860.420865943,1.5
7.2,276890.582101895,805.028347044202,277695.610448939,1.5
7.4,261770.050408992,850.640257536876,262620.690666529,1.5
7.6,247606.302223023,902.027583773957,248508.329806797,1.5
7.8,234340.236232323,960.089293694465,235300.325526017,1.5
8,221866.404327101,1025.46768656444,222891.872013665,0
8.2,236036.06591385,1095.33631405674,237131.402227907,0
8.4,250170.825752557,1165.29870033429,251336.124452891,0
8.6,264168.684390771,1234.83292375013,265403.517314522,0
8.8,277946.095144642,1303.49161086727,279249.586755509,0
9,291435.456620718,1370.90330432736,292806.359925045,1.5
9.2,267768.245110108,1444.98307971433,269213.228189822,1.5
9.4,246492.548942854,1531.29597026869,248023.844913123,1.5
9.6,227353.428148336,1631.34972736586,228984.777875702,1.5
9.8,210064.389228877,1746.57586224064,211810.965091118,1.5
10,194344.884934801,1878.32261449198,196223.207549292,0
10.2,208226.598157283,2021.4984599399,210248.096617223,0
10.4,222262.505170696,2166.85449506128,224429.359665758,0
10.6,236356.486077653,2313.3415456585,238669.827623312,0
10.8,250413.374813915,2460.03135186595,252873.406165781,0
11,264318.977809047,2605.71062006947,266924.688429116,1.5
11.2,237500.251654103,2766.97202427588,240267.223678378,1.5
11.4,213881.931636504,2956.07356761849,216838.005204123,1.5
