Day,Rep1,Rep2,Rep3
0,40000,40000,40000
1,187687.2555,173058.0266,153923.7493
2,229920.6447,209507.7595,184118.175
3,245420.818,238206.4865,222747.2634
4,287127.2327,258616.6535,263182.7361
5,280807.8016,265747.1095,263267.1005
6,289138.2701,261906.3576,271190.8246
7,328808.7135,276465.1654,263890.1144
8,269279.0532,270445.4686,221699.3963
9,300532.0237,281300.3381,268826.0785
10,201609.6342,196614.2591,231555.7774
11,270870.4588,258503.5027,264281.0185
12,225843.3634,225505.2017,228267.3446
13,263606.6507,262258.4822,257766.595
14,399716.3653,392767.506,392585.7333
