Day,Rep1,Rep2,Rep3
0,40000,40000,40000
1,28250.83686,23534.07558,25779.62809
2,38833.01798,37134.03507,38000.52066
3,58323.93741,54066.15458,58357.86701
4,100076.5824,94638.81232,105948.8077
5,167861.6749,159160.7383,164267.6997
6,254126.0765,276029.439,280007.2783
7,310395.5232,306438.9022,319973.8381
8,446768.0698,493698.2341,459011.4713
9,470282.961,430358.8768,428034.5333
10,534116.8691,484152.9297,489096.7357
11,505615.2075,469178.6358,461604.9831
12,551519.3486,536675.0041,499520.2006
13,533055.2346,533732.7705,509480.287
14,548726.4638,556939.6552,523194.8249
