Day,Rep1,Rep2,Rep3
0,40000,40000,40000
1,43780.44184,49967.10749,48073.75786
2,87256.31912,93415.00019,72463.15257
3,120464.3969,144789.8045,117826.1802
4,187154.6489,226841.7931,192094.2895
5,302732.4019,346942.8598,298916.1731
6,370910.2173,392718.5574,351847.5343
7,495741.578,511636.6644,486654.8609
8,396047.7058,407678.4385,380288.8854
9,505473.0552,506471.8564,495044.8186
10,356295.4207,352017.7103,326161.3837
11,459400.0874,450125.6722,448246.2464
12,326803.3278,324049.4376,325500.0402
13,405755.5203,401055.3816,416316.1312
14,297554.511,298445.9696,322972.3343
