Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,20000,20000,20000,20000,20000,20000
1,8745.524237,10106.20856,11399.05324,8280.581227,7701.431396,6459.119318
2,28191.81696,30131.14266,33814.66465,18604.79965,17061.75598,15829.37834
3,38637.7517,43825.69434,53096.96107,27538.84337,25884.62405,21611.56801
4,88935.0225,94311.19128,130678.5348,56765.11208,51121.4764,50174.00957
5,152872.5772,146396.5615,165033.1787,95888.0081,88846.94245,87206.7252
6,189687.5372,186906.21,223099.1339,148487.7197,163977.8608,144699.6711
7,237563.9949,232838.0619,293713.4658,229164.4743,250025.3672,216147.4585
8,191404.3551,237766.8098,331523.042,325067.8925,278487.3302,304559.7697
9,226176.6557,232876.8023,182871.7367,441757.3629,387238.7225,356517.0875
10,233288.2988,265629.0306,272779.9225,357800.8582,314888.6816,285633.7829
11,276542.0008,219258.5384,271507.7485,512872.2101,426594.4127,401137.4579
12,315919.2026,295216.9868,307782.1034,341226.9453,304082.7216,268772.4756
13,294249.964,227785.8376,274759.1424,486627.6976,391054.521,400204.3647
14,315998.5607,278347.1139,288217.0669,345438.8303,313674.2563,300685.1469
