Day,Rep1,Rep2,Rep3
0,40000,40000,40000
1,177277.2647,150392.6074,177561.5301
2,170528.0326,174418.046,181319.3061
3,221688.0147,240166.1113,246087.7546
4,215816.7868,261960.4493,225171.929
5,269956.5304,284760.0421,282275.7699
6,226780.5634,212210.5304,232617.1578
7,337867.7785,316755.0635,329951.4075
8,186678.2461,187791.5866,206734.3133
9,268708.7231,276607.9435,227410.1481
10,97431.11044,94691.39831,134107.6142
11,239805.2842,198130.1004,201354.8004
12,137618.2615,106506.0744,120351.3439
13,264947.1924,224590.1978,227814.9956
14,289979.6458,255990.4442,325176.8584
