Day,Rep1,Rep2,Rep3
0,40000,40000,40000
1,41959.87951,49924.92528,40248.55678
2,64345.35518,80476.87314,60855.80877
3,103253.6245,125304.6346,98180.80782
4,145165.2399,185301.1152,146067.5716
5,203876.796,252677.625,224016.6801
6,258731.8382,297254.7963,265635.0343
7,329890.8818,391625.6138,374290.0939
8,328265.4293,342047.3766,360092.641
9,384156.9765,411680.0383,454629.7624
10,311372.1284,325392.8149,340001.3144
11,380606.4155,392762.9494,438423.4624
12,285012.1771,305015.8734,331469.6738
13,350716.7304,343786.8795,405206.5649
14,279509.403,295081.8356,303044.2413
