Day,Rep1,Rep2,Rep3
0,40000,40000,40000
1,14954.24901,13384.08122,14305.28439
2,23066.98141,21310.11285,20567.47517
3,36093.67742,34546.56611,32220.5017
4,67715.96222,64499.7495,59072.12899
5,109052.9648,105837.6907,81075.79404
6,160470.714,168223.2256,132249.876
7,213755.1385,215873.147,201588.0249
8,279874.3173,288141.0333,236819.0692
9,371351.3411,375479.7026,322345.5461
10,310488.5118,327769.7052,328167.2388
11,418550.791,427042.7918,472370.7751
12,323926.6261,308909.9349,339969.7902
13,398348.6017,397726.683,402104.383
14,305722.9779,310570.1579,330314.3662
