Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,30000,30000,30000,10000,10000,10000
1,13214.29635,10738.92217,9745.518383,4071.746965,4372.146106,2917.808282
2,46592.47192,42640.427,33302.65044,9369.594114,8723.719339,6598.768447
3,67646.98834,56230.19784,47012.80778,16458.51321,14826.19657,13440.34373
4,148258.7194,157437.7602,118819.2125,30993.81483,24487.87854,21584.28744
5,267945.493,237611.8288,203886.9651,42369.90937,46480.25981,41477.47302
6,340540.2768,249927.1376,253034.6582,72321.41096,57079.76752,76390.90899
7,430290.8025,412978.3195,355360.7043,138256.6463,116215.6685,126266.3772
8,249731.9886,268776.9148,270159.58,183018.2499,117976.1354,130599.6265
9,367378.9189,387781.2049,369692.6631,276463.2881,227879.1587,178880.3843
10,362597.9163,376139.3252,382919.1623,263885.3819,171628.5249,194848.7664
11,332694.4442,344016.1145,357755.508,428516.8811,298100.7873,301069.6757
12,386259.1056,456428.6371,436696.7882,244188.2057,205895.0692,219654.7031
13,280047.1724,372125.6204,300021.2415,350869.2669,317791.862,319415.7305
14,380952.2236,374227.1628,397677.7539,272761.051,239721.1545,240960.4745
